# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	23	1534	+	MLNONE_00001	dnaA	chromosomal replication initiator protein DnaA	GO:0003688, GO:0005524, GO:0006275, GO:0043565, KEGG:K02313, RefSeq:WP_013882065.1, SO:0001217, UniParc:UPI0002127C7D, UniRef:UniRef100_F8A1L4, UniRef:UniRef50_A6W3V4, UniRef:UniRef90_A0A510USQ4
contig_1	cds	2223	3353	+	MLNONE_00002	dnaN	DNA polymerase III subunit beta	COG:COG0592, COG:L, EC:2.7.7.7, GO:0003677, GO:0003887, GO:0006260, GO:0009360, KEGG:K02338, RefSeq:WP_013882066.1, SO:0001217, UniParc:UPI0002127C7E, UniRef:UniRef100_F8A1L5, UniRef:UniRef50_A0A0E3URH8, UniRef:UniRef90_A0A7Y6A4Q6
contig_1	cds	3460	4347	+	MLNONE_00003	gnd	phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)	EC:1.1.1.343, EC:1.1.1.44, GO:0006098, GO:0016616, KEGG:K00033, RefSeq:WP_013882067.1, SO:0001217, UniParc:UPI0002127C7F, UniRef:UniRef100_F8A1L6, UniRef:UniRef50_A0A7Y9DZE8, UniRef:UniRef90_F8A1L6
contig_1	cds	4355	5536	+	MLNONE_00004	recF	DNA replication/repair protein RecF	GO:0003697, GO:0005524, GO:0006260, GO:0006281, GO:0006310, GO:0009432, RefSeq:WP_013882068.1, SO:0001217, UniParc:UPI0002127C80, UniRef:UniRef100_F8A1L7, UniRef:UniRef50_A0A430JSH5, UniRef:UniRef90_F8A1L7
contig_1	cds	5526	6074	+	MLNONE_00005	dciA	Dna[CI] antecedent, DciA	RefSeq:WP_013882069.1, SO:0001217, UniParc:UPI0002127C81, UniRef:UniRef100_F8A1L8, UniRef:UniRef50_F8A1L8, UniRef:UniRef90_F8A1L8
contig_1	cds	6270	8294	+	MLNONE_00006	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0006265, RefSeq:WP_013882070.1, SO:0001217, UniParc:UPI0002127C82, UniRef:UniRef100_F8A1L9, UniRef:UniRef50_P9WG45, UniRef:UniRef90_A0A4Y3KP01
contig_1	cds	8351	10972	+	MLNONE_00007	gyrA	DNA gyrase subunit A	EC:5.6.2.2, GO:0003677, GO:0003916, GO:0003918, GO:0005524, GO:0006259, GO:0006265, KEGG:K02469, RefSeq:WP_013882071.1, SO:0001217, UniParc:UPI0002127C83, UniRef:UniRef100_F8A1M0, UniRef:UniRef50_C5C7X9, UniRef:UniRef90_F8A1M0
contig_1	cds	10969	11877	+	MLNONE_00008		DUF3566 domain-containing protein	SO:0001217, UniParc:UPI0002127C84, UniRef:UniRef100_F8A1M1, UniRef:UniRef50_F8A1M1, UniRef:UniRef90_F8A1M1
contig_1	tRNA	11955	12028	+	MLNONE_00009	trnI	tRNA-Ile(gat)	SO:0000263
contig_1	cds	12052	12171	+	MLNONE_00010		Transporter	RefSeq:WP_013882073.1, SO:0001217, UniParc:UPI0002127C85, UniRef:UniRef100_F8A1M2, UniRef:UniRef50_A0A0A0BCU6, UniRef:UniRef90_F8A1M2
