# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	37	774	+	GJECLK_00001		endo-1,4-beta-xylanase	EC:3.2.1.8, KEGG:K01181, SO:0001217, UniRef:UniRef50_A0A239P8M8, UniRef:UniRef90_UPI0016497EF4
contig_1	cds	844	1863	-	GJECLK_00002		2-dehydropantoate 2-reductase	SO:0001217, UniRef:UniRef50_A0A1C4I3Y4, UniRef:UniRef90_A0A510V0Z1
contig_1	cds	1987	4665	+	GJECLK_00003		Phosphoenolpyruvate carboxylase	RefSeq:WP_371862743.1, SO:0001217, UniParc:UPI003530E359, UniRef:UniRef100_UPI003530E359, UniRef:UniRef50_A5CMW9, UniRef:UniRef90_A0A511JNF4
contig_1	cds	4721	5518	-	GJECLK_00004		Oxidoreductase	SO:0001217, UniParc:UPI00116FD067, UniRef:UniRef100_A0A510UXR5, UniRef:UniRef50_A0A143QAK9, UniRef:UniRef90_A0A0T0MDA0
contig_1	cds	5521	6123	-	GJECLK_00005		Molybdopterin-binding protein	RefSeq:WP_146925035.1, SO:0001217, UniParc:UPI0011718956, UniRef:UniRef100_A0A510UXS5, UniRef:UniRef50_M3BS43, UniRef:UniRef90_A0A0T0MDG9
contig_1	cds	6255	7640	-	GJECLK_00006		DEAD/DEAH box helicase	RefSeq:WP_146925036.1, SO:0001217, UniParc:UPI00116DD972, UniRef:UniRef100_A0A510V2Z0, UniRef:UniRef50_A0A916NP70, UniRef:UniRef90_A0A0T0MDB6
contig_1	cds	7854	8603	+	GJECLK_00007		ABC transporter ATP-binding protein	RefSeq:WP_146925037.1, SO:0001217, UniParc:UPI0011726C03, UniRef:UniRef100_A0A510UYA1, UniRef:UniRef50_A0A0B6TVN2, UniRef:UniRef90_A0A510UYA1
contig_1	cds	8603	11149	+	GJECLK_00008		Lysophospholipase	SO:0001217, UniParc:UPI00116AA725, UniRef:UniRef100_A0A510UXS7, UniRef:UniRef50_A0A161XAE3, UniRef:UniRef90_A0A0T0MD87
contig_1	cds	11217	11858	+	GJECLK_00009		CYTH domain-containing protein	RefSeq:WP_146925039.1, SO:0001217, UniParc:UPI0011731EAD, UniRef:UniRef100_A0A510UXX1, UniRef:UniRef50_I4BD81, UniRef:UniRef90_A0A0Q7MYN2
contig_1	cds	11855	12730	-	GJECLK_00010		CHAD domain-containing protein	RefSeq:WP_146925040.1, SO:0001217, UniParc:UPI00116E14AC, UniRef:UniRef100_A0A510UY33, UniRef:UniRef50_A0A656Y457, UniRef:UniRef90_A0A510UY33
contig_1	cds	12844	14628	+	GJECLK_00011		Lipoprotein	SO:0001217, UniParc:UPI00116E2991, UniRef:UniRef100_A0A510V2B6, UniRef:UniRef50_A0A0Q7MN32, UniRef:UniRef90_A0A510V2B6
contig_1	cds	14615	14818	-	GJECLK_00012		hypothetical protein	RefSeq:WP_146925041.1, SO:0001217, UniParc:UPI000AC0DDEE, UniRef:UniRef100_A0A510V100, UniRef:UniRef50_A0A0T0MDP1, UniRef:UniRef90_A0A510V100
contig_1	cds	14876	15316	+	GJECLK_00013	marR	MarR family transcriptional regulator	RefSeq:WP_307724374.1, SO:0001217, UniParc:UPI00116EFFE3, UniRef:UniRef100_A0A510UXT3, UniRef:UniRef50_S3A4A2, UniRef:UniRef90_A0A0T0MD79
contig_1	cds	15303	15671	-	GJECLK_00014		Glyoxalase	RefSeq:WP_146925043.1, SO:0001217, UniParc:UPI000AA8E2F9, UniRef:UniRef100_A0A510UXT6, UniRef:UniRef50_R7WKI7, UniRef:UniRef90_A0A656Y5S4
contig_1	cds	15769	16545	+	GJECLK_00015		LLM class F420-dependent oxidoreductase	RefSeq:WP_146925044.1, SO:0001217, UniParc:UPI001169D6E9, UniRef:UniRef100_A0A510UXT1, UniRef:UniRef50_A0A0H3D0H4, UniRef:UniRef90_A0A0T0MD61
contig_1	cds	16576	18201	+	GJECLK_00016		Calcineurin-like phosphoesterase domain-containing protein	RefSeq:WP_146925045.1, SO:0001217, UniParc:UPI00116670F6, UniRef:UniRef100_A0A510V2Z9, UniRef:UniRef50_A0A511JEP1, UniRef:UniRef90_A0A510V2Z9
contig_1	cds	18303	19856	+	GJECLK_00017		Bulb-type lectin domain-containing protein	SO:0001217, UniParc:UPI00116A001A, UniRef:UniRef100_A0A510UYB1, UniRef:UniRef50_A0A4Y8V3B6, UniRef:UniRef90_A0A510UYB1
contig_1	cds	19893	20585	+	GJECLK_00018		Manganese transport regulator	RefSeq:WP_146925047.1, SO:0001217, UniParc:UPI0011695234, UniRef:UniRef100_A0A510UXT7, UniRef:UniRef50_A6W6N1, UniRef:UniRef90_A0A510UXT7
