AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
20, Cellulomonas palmilytica 16s:1722785-1724301(+), Cellulomonas uda 16s:3767-5283, 0.0019801980, 0.0000000000
21, Cellulomonas flavigena 16s:1209813-1211330, Cellulomonas wangleii 16s:1227608-1229125, 0.0026402640, 0.0000000000
22, Cellulomonas iranesis 16s:690805-692322, Cellulomonas xiejunii 16s:1204400-1205917, 0.0039603960, 0.0000000000
23, 21, 22, 0.0013201320, 0.0013201320
24, Cellulomonas wangsupingiae 16s:1190616-1192133, 23, 0.0006600660, 0.0019801980
25, Cellulomonas gilvus 16s:2110398-2111913, Cellulomonas fulva 16s:221-1651, 0.0026402640, 0.0059405941
26, 25, 20, 0.0039603960, 0.0026402640
27, Cellulomonas algicola 16s:3772-5290, Cellulomonas fimi 16s:1832181-1833701, 0.0099009901, 0.0033003300
28, 29, Cellulomonas cellasea 16s:297-1818, 0.0072607261, 0.0059405941
29, 36, 27, 0.0019801980, 0.0046204620
30, 26, Cellulomonas composti 16s:3851-5368, 0.0059405941, 0.0019801980
31, 30, 24, 0.0052805281, 0.0079207921
32, 31, Cellulomonas soli 16s:2903978-2905500, 0.0019801980, 0.0052805281
33, Cellulomonas hominis 16s:291-1810, Cellulomonas pakistanensis 16s:3927-5446, 0.0046204620, 0.0019801980
34, Cellulomonas xylanilytica 16s:256-1776, 33, 0.0099009901, 0.0145214521
35, Cellulomonas terrae 16s:3786-5305, 34, 0.0019801980, 0.0019801980
36, 32, 35, 0.0013201320, 0.0052805281
37, 28, Sanguibacter suarezii 16s:276-1798, 0.0029702970, 0.0386138614
