# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	47	298	-	MOABDA_00001	pspC	Phage shock protein PspC N-terminal domain-containing protein	RefSeq:WP_146844097.1, SO:0001217, UniParc:UPI0011742B0A, UniRef:UniRef100_A0A511JEP8, UniRef:UniRef50_A0A0T0MIT9, UniRef:UniRef90_A0A511JEP8
contig_1	cds	407	868	-	MOABDA_00002		Mucin-associated surface protein	RefSeq:WP_186814681.1, SO:0001217, UniParc:UPI001649DB5A, UniRef:UniRef100_UPI001649DB5A, UniRef:UniRef50_A0A0Q5J2I0, UniRef:UniRef90_A0A511JER0
contig_1	cds	865	2079	-	MOABDA_00003		non-specific serine/threonine protein kinase	RefSeq:WP_146844098.1, SO:0001217, UniParc:UPI0011BD8EAE, UniRef:UniRef100_A0A511JEU5, UniRef:UniRef50_A0A510UP98, UniRef:UniRef90_A0A511JEU5
contig_1	cds	2104	2520	+	MOABDA_00004		SnoaL-like domain-containing protein	SO:0001217, UniParc:UPI000B0E073E, UniRef:UniRef100_A0A511JEM5, UniRef:UniRef50_J4JV93, UniRef:UniRef90_A0A511JEM5
contig_1	cds	2662	4893	+	MOABDA_00005		CBM2 domain-containing protein	EC:4.2.2.23, KEGG:K18197, RefSeq:WP_146844100.1, SO:0001217, UniParc:UPI0011752552, UniRef:UniRef100_A0A511JEN7, UniRef:UniRef50_A0A0Q5J8K0, UniRef:UniRef90_A0A0Q5J8K0
contig_1	cds	4957	7224	+	MOABDA_00006		Alpha/beta hydrolase	EC:3.2.1.51, KEGG:K15923, RefSeq:WP_146844101.1, SO:0001217, UniParc:UPI00116AC2D5, UniRef:UniRef100_A0A511JF81, UniRef:UniRef50_A0A7M4DFZ5, UniRef:UniRef90_A0A511JF81
contig_1	cds	7214	7879	-	MOABDA_00007		Epimerase	RefSeq:WP_146844102.1, SO:0001217, UniParc:UPI00116E047D, UniRef:UniRef100_A0A511JEN4, UniRef:UniRef50_D5UHK7, UniRef:UniRef90_A0A0T0MIW8
contig_1	cds	7994	8962	+	MOABDA_00008		Cupin	KEGG:K18991, RefSeq:WP_246123162.1, SO:0001217, UniParc:UPI00116ACF4E, UniRef:UniRef100_A0A511JEN8, UniRef:UniRef50_D2S4Y3, UniRef:UniRef90_A0A0Q5J343
contig_1	cds	9030	9434	+	MOABDA_00009		Aldehyde dehydrogenase	RefSeq:WP_146844103.1, SO:0001217, UniParc:UPI000B09FE40, UniRef:UniRef100_A0A511JEQ9, UniRef:UniRef50_A0A3A1TWI5, UniRef:UniRef90_A0A511JEQ9
contig_1	cds	9431	9685	-	MOABDA_00010		Nuclease	RefSeq:WP_146844104.1, SO:0001217, UniParc:UPI001169D78A, UniRef:UniRef100_A0A511JFG2, UniRef:UniRef50_A0A0Q7MSF2, UniRef:UniRef90_A0A511JFG2
contig_1	cds	9946	12072	-	MOABDA_00011		N-acylglucosamine 2-epimerase	SO:0001217, UniParc:UPI00116653E1, UniRef:UniRef100_A0A511JEQ8, UniRef:UniRef50_A0A1G7XWK0, UniRef:UniRef90_A0A0Q5J5D7
contig_1	cds	12123	12911	+	MOABDA_00012		Alpha/beta hydrolase	SO:0001217, UniRef:UniRef50_A0A656Y6J9, UniRef:UniRef90_A0A511JES2
contig_1	cds	12946	13788	+	MOABDA_00013	fdhD	formate dehydrogenase accessory sulfurtransferase FdhD	GO:0016783, KEGG:K02379, RefSeq:WP_146844107.1, SO:0001217, UniParc:UPI001170E1F6, UniRef:UniRef100_A0A511JEV5, UniRef:UniRef50_A0A2A9D3Q9, UniRef:UniRef90_A0A0T0MIT8
contig_1	cds	13788	16067	+	MOABDA_00014		Formate dehydrogenase	RefSeq:WP_146844108.1, SO:0001217, UniParc:UPI001167D7E0, UniRef:UniRef100_A0A511JEP2, UniRef:UniRef50_P9WJP9, UniRef:UniRef90_A0A0T0MIU3
contig_1	cds	16210	17373	+	MOABDA_00015		EBNA-1 nuclear protein	RefSeq:WP_246123163.1, SO:0001217, UniParc:UPI0011733129, UniRef:UniRef100_A0A511JEP7, UniRef:UniRef50_A0A518BLU9, UniRef:UniRef90_A0A511JEP7
contig_1	cds	17370	18473	+	MOABDA_00016		Alanine racemase N-terminal domain-containing protein	EC:5.1.1.12, KEGG:K21898, RefSeq:WP_146844109.1, SO:0001217, UniParc:UPI0011671950, UniRef:UniRef100_A0A511JF89, UniRef:UniRef50_A0A292YWN0, UniRef:UniRef90_A0A511JF89
contig_1	cds	18496	18909	-	MOABDA_00017		DUF4231 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A511JEP4, UniRef:UniRef90_A0A511JEP4
contig_1	cds	19048	19902	+	MOABDA_00018		TIR domain-containing protein	RefSeq:WP_186814683.1, SO:0001217, UniParc:UPI001649FEBF, UniRef:UniRef100_UPI001649FEBF, UniRef:UniRef50_A0A511JEP6, UniRef:UniRef90_A0A511JEP6
contig_1	cds	19899	20702	+	MOABDA_00019		TIR domain-containing protein	RefSeq:WP_146844111.1, SO:0001217, UniParc:UPI0011BE3D3D, UniRef:UniRef100_UPI0011BE3D3D, UniRef:UniRef50_A0A511JER7, UniRef:UniRef90_A0A511JER7
contig_1	cds	20770	21735	+	MOABDA_00020		ATP-dependent DNA ligase	EC:6.5.1.1, KEGG:K01971, RefSeq:WP_146844112.1, SO:0001217, UniParc:UPI00116F8935, UniRef:UniRef100_A0A511JFG9, UniRef:UniRef50_A0A0J6VGA7, UniRef:UniRef90_A0A511JFG9
contig_1	tRNA	21795	21868	-	MOABDA_00021	trnfM	tRNA-fMet(cat)	SO:0000266
contig_1	cds	21969	24953	-	MOABDA_00022		UPF0182 protein ASG23_10045	KEGG:K09118, RefSeq:WP_146844113.1, SO:0001217, UniParc:UPI001171183F, UniRef:UniRef100_A0A511JER5, UniRef:UniRef50_C0W8Z8, UniRef:UniRef90_A0A0T0MJZ0
contig_1	cds	25074	25628	+	MOABDA_00023		hypothetical protein	RefSeq:WP_146844114.1, SO:0001217, UniParc:UPI0011694B63, UniRef:UniRef100_A0A511JEU0, UniRef:UniRef50_F8A0G1, UniRef:UniRef90_A0A0T0MIW5
contig_1	cds	25625	26770	-	MOABDA_00024		endopeptidase La	SO:0001217, UniRef:UniRef50_A0A5P9Q7V1, UniRef:UniRef90_A0A0T0MJH3
contig_1	cds	26767	27834	-	MOABDA_00025		Nucleoside-diphosphate sugar epimerase	RefSeq:WP_146844115.1, SO:0001217, UniParc:UPI001172FE33, UniRef:UniRef100_A0A511JEQ2, UniRef:UniRef50_A0A1J5QTV8, UniRef:UniRef90_A0A0Q7ME44
contig_1	cds	27900	29300	+	MOABDA_00026		Hydrolase	RefSeq:WP_146844116.1, SO:0001217, UniParc:UPI00116D366D, UniRef:UniRef100_A0A511JEQ4, UniRef:UniRef50_A0A970Z1G9, UniRef:UniRef90_A0A510V9M9
contig_1	cds	29371	30099	-	MOABDA_00027		YgjP-like metallopeptidase domain-containing protein	RefSeq:WP_146844117.1, SO:0001217, UniParc:UPI00116A6AF0, UniRef:UniRef100_A0A511JF91, UniRef:UniRef50_D5UHN2, UniRef:UniRef90_A0A511JF91
contig_1	cds	30291	30449	+	MOABDA_00028		DUF5679 domain-containing protein	RefSeq:WP_146844118.1, SO:0001217, UniParc:UPI000AC3EF65, UniRef:UniRef100_A0A511JEQ3, UniRef:UniRef50_E6S7V6, UniRef:UniRef90_D5UHN3
contig_1	cds	30560	31579	+	MOABDA_00029		THIF-type NAD/FAD binding fold domain-containing protein	RefSeq:WP_146844119.1, SO:0001217, UniParc:UPI0011727D5A, UniRef:UniRef100_A0A511JEQ7, UniRef:UniRef50_A0A0T0MIY4, UniRef:UniRef90_A0A511JEQ7
contig_1	cds	31589	31939	-	MOABDA_00030	whiB	Transcriptional regulator WhiB	RefSeq:WP_146844120.1, SO:0001217, UniParc:UPI0011682756, UniRef:UniRef100_A0A511JES9, UniRef:UniRef50_A0A919FUS1, UniRef:UniRef90_A0A0T0MIR3
