# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	275	1822	+	PDPNMP_00001	dnaA	chromosomal replication initiator protein DnaA	GO:0003688, GO:0005524, GO:0006275, GO:0043565, KEGG:K02313, RefSeq:WP_207340055.1, SO:0001217, UniParc:UPI001A93D007, UniRef:UniRef100_UPI001A93D007, UniRef:UniRef50_Q6ABL5, UniRef:UniRef90_A0A1I3ZYU3
contig_1	cds	3053	4183	+	PDPNMP_00002	dnaN	DNA polymerase III subunit beta	EC:2.7.7.7, GO:0003677, GO:0003887, GO:0006260, GO:0009360, KEGG:K02338, RefSeq:WP_207340056.1, SO:0001217, UniParc:UPI001A950D53, UniRef:UniRef100_UPI001A950D53, UniRef:UniRef50_N6X4L0, UniRef:UniRef90_D5UF35
contig_1	cds	4261	5190	+	PDPNMP_00003	gnd	phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)	EC:1.1.1.343, EC:1.1.1.44, GO:0006098, GO:0016616, KEGG:K00033, RefSeq:WP_207340057.1, SO:0001217, UniParc:UPI001A94D02D, UniRef:UniRef100_UPI001A94D02D, UniRef:UniRef50_N0DXQ9, UniRef:UniRef90_A0A4Y8UQX1
contig_1	cds	5196	6392	+	PDPNMP_00004	recF	DNA replication/repair protein RecF	GO:0003697, GO:0005524, GO:0006260, GO:0006281, GO:0006310, GO:0009432, RefSeq:WP_207340058.1, SO:0001217, UniParc:UPI001A9404B4, UniRef:UniRef100_UPI001A9404B4, UniRef:UniRef50_A0JQT5, UniRef:UniRef90_D5UF37
contig_1	cds	6496	7017	+	PDPNMP_00005		putative nucleic acid-binding protein, contains Zn-ribbon domain (Includes truncated derivatives)	SO:0001217, UniRef:UniRef50_D5UF38, UniRef:UniRef90_A0A1I3ZXC2
contig_1	cds	7224	9305	+	PDPNMP_00006	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0006265, KEGG:K02470, RefSeq:WP_207340059.1, SO:0001217, UniParc:UPI001A95293C, UniRef:UniRef100_UPI001A95293C, UniRef:UniRef50_P9WG45, UniRef:UniRef90_A0A1I3ZX58
contig_1	cds	9370	11964	+	PDPNMP_00007	gyrA	DNA gyrase subunit A	EC:5.6.2.2, GO:0003677, GO:0003916, GO:0003918, GO:0005524, GO:0006259, GO:0006265, KEGG:K02469, RefSeq:WP_207340060.1, SO:0001217, UniParc:UPI001A9495B9, UniRef:UniRef100_UPI001A9495B9, UniRef:UniRef50_C5C7X9, UniRef:UniRef90_A0A0V8T953
contig_1	cds	11961	12953	+	PDPNMP_00008		DUF3566 domain-containing protein	RefSeq:WP_207340061.1, SO:0001217, UniParc:UPI001A942DDE, UniRef:UniRef100_UPI001A942DDE, UniRef:UniRef50_D5UF41, UniRef:UniRef90_A0A1I3ZYN8
contig_1	tRNA	13085	13158	+	PDPNMP_00009	trnI	tRNA-Ile(gat)	SO:0000263
contig_1	cds	13219	13338	+	PDPNMP_00010		Transporter	SO:0001217, UniRef:UniRef50_A0A0A0BCU6, UniRef:UniRef90_A0A1I3ZWW9
contig_1	tRNA	13355	13427	+	PDPNMP_00011	trnA	tRNA-Ala(tgc)	SO:0000254
contig_1	cds	13541	14008	-	PDPNMP_00012		Histidine kinase/HSP90-like ATPase domain-containing protein	RefSeq:WP_207340062.1, SO:0001217, UniParc:UPI001A947368, UniRef:UniRef100_UPI001A947368, UniRef:UniRef50_A0A0V8T8T2, UniRef:UniRef90_A0A1I3ZXE4
contig_1	cds	14215	14892	+	PDPNMP_00013		(pseudo) site-specific integrase	SO:0001217, UniRef:UniRef50_UPI001A950E70, UniRef:UniRef90_UPI001A950E70
contig_1	cds	15051	15218	-	PDPNMP_00014		hypothetical protein	
contig_1	cds	15743	16162	+	PDPNMP_00015		hypothetical protein	
contig_1	cds	16316	17350	+	PDPNMP_00016		3'-phosphate/5'-hydroxy nucleic acid ligase	SO:0001217, UniParc:UPI001FB39754, UniRef:UniRef100_UPI001FB39754, UniRef:UniRef50_A0A1I7A7Y1, UniRef:UniRef90_D5UF45
contig_1	cds	17922	18128	+	PDPNMP_00017		Cold-shock DNA-binding domain protein	RefSeq:WP_089802810.1, SO:0001217, UniParc:UPI0008EB60A0, UniRef:UniRef100_A0A1I3ZY20, UniRef:UniRef50_U2EJD7, UniRef:UniRef90_D5UF46
contig_1	cds	18283	18849	-	PDPNMP_00018		Restriction endonuclease	RefSeq:WP_207340065.1, SO:0001217, UniParc:UPI001A942779, UniRef:UniRef100_UPI001A942779, UniRef:UniRef50_F8A1M5, UniRef:UniRef90_A0A1I3ZYD5
contig_1	cds	18975	19709	-	PDPNMP_00019		Protein N-acetyltransferase, RimJ/RimL family	RefSeq:WP_307859436.1, SO:0001217, UniParc:UPI0027DB3697, UniRef:UniRef100_UPI0027DB3697, UniRef:UniRef50_A0A163RUK4, UniRef:UniRef90_A0A1I3ZWU2
contig_1	cds	19964	22396	-	PDPNMP_00020		Endoglucanase	RefSeq:WP_207340066.1, SO:0001217, UniParc:UPI001A94A3FF, UniRef:UniRef100_UPI001A94A3FF, UniRef:UniRef50_A0A927M5L7, UniRef:UniRef90_A0A1I3ZXA4
