# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	102	1496	+	DKHMNA_00001		APC family permease	RefSeq:WP_203666682.1, SO:0001217, UniParc:UPI00194264B6, UniRef:UniRef100_A0A919P5H0, UniRef:UniRef50_A0A1B9ER35, UniRef:UniRef90_A0A7Z8JZZ8
contig_1	cds	1528	2268	+	DKHMNA_00002		Polymerase beta nucleotidyltransferase domain-containing protein	RefSeq:WP_239068404.1, SO:0001217, UniParc:UPI001A4811E4, UniRef:UniRef100_A0A919P842, UniRef:UniRef50_Q5YSD1, UniRef:UniRef90_A0A919P842
contig_1	cds	2315	3133	+	DKHMNA_00003	ppk2	polyphosphate kinase 2	EC:2.7.4.1, GO:0006793, GO:0008976, RefSeq:WP_203666683.1, SO:0001217, UniParc:UPI001942953E, UniRef:UniRef100_UPI001942953E, UniRef:UniRef50_A0A0F6TAP9, UniRef:UniRef90_A0A919PAB2
contig_1	cds	3170	3652	+	DKHMNA_00004		N-acetyltransferase	RefSeq:WP_203666684.1, SO:0001217, UniParc:UPI00194300B1, UniRef:UniRef100_A0A919P7M3, UniRef:UniRef50_A0A168EM80, UniRef:UniRef90_A0A919P7M3
contig_1	cds	3735	4358	-	DKHMNA_00005		sugar O-acetyltransferase	EC:2.3.1.79, KEGG:K00661, RefSeq:WP_203666685.1, SO:0001217, UniParc:UPI0019448E1E, UniRef:UniRef100_UPI0019448E1E, UniRef:UniRef50_A0AAE4CBX0, UniRef:UniRef90_UPI0019448E1E
contig_1	cds	4513	4986	+	DKHMNA_00006		Histidine kinase/HSP90-like ATPase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A919P8Y6, UniRef:UniRef90_A0A919P8Y6
contig_1	cds	5180	7642	+	DKHMNA_00007		Arabinogalactan endo-beta-1,4-galactanase	EC:3.2.1.89, KEGG:K01224, RefSeq:WP_203666687.1, SO:0001217, UniParc:UPI001944E175, UniRef:UniRef100_A0A919P7W9, UniRef:UniRef50_A0A235A4H7, UniRef:UniRef90_A0A919P7W9
contig_1	cds	7800	8330	+	DKHMNA_00008		hypothetical protein	SO:0001217, UniParc:UPI001A396896, UniRef:UniRef100_A0A919P5S8, UniRef:UniRef50_A0A919P5S8, UniRef:UniRef90_A0A919P5S8
contig_1	cds	8385	10031	-	DKHMNA_00009	ccmA	heme ABC exporter ATP-binding protein CcmA	EC:7.6.2.5, GO:0015439, GO:0015886, GO:0017004, GO:0022857, GO:0043190, RefSeq:WP_203666689.1, SO:0001217, UniParc:UPI001945ABE9, UniRef:UniRef100_A0A919P9L3, UniRef:UniRef50_A0A1Y2NBE6, UniRef:UniRef90_A0A3M2JCT3
contig_1	cds	10170	10535	-	DKHMNA_00010		DUF3817 domain-containing protein	RefSeq:WP_203666690.1, SO:0001217, UniParc:UPI0019442AD7, UniRef:UniRef100_A0A919U192, UniRef:UniRef50_D1BG92, UniRef:UniRef90_A0A919U192
contig_1	cds	10627	11553	-	DKHMNA_00011		Pseudouridylate synthase	EC:5.4.99.28, EC:5.4.99.29, KEGG:K06177, RefSeq:WP_203666691.1, SO:0001217, UniParc:UPI00194589B1, UniRef:UniRef100_A0A919U3Z4, UniRef:UniRef50_A0A099J3T3, UniRef:UniRef90_A0A7Z8NNS9
contig_1	cds	11588	12148	-	DKHMNA_00012		Dienelactone hydrolase	RefSeq:WP_203666692.1, SO:0001217, UniParc:UPI001942852F, UniRef:UniRef100_A0A919U4T5, UniRef:UniRef50_D3PU99, UniRef:UniRef90_A0A919U4T5
contig_1	cds	12200	12766	-	DKHMNA_00013		Pyridoxamine 5'-phosphate oxidase	RefSeq:WP_203666693.1, SO:0001217, UniParc:UPI001942961B, UniRef:UniRef100_A0A919U210, UniRef:UniRef50_A0A919U210, UniRef:UniRef90_A0A919U210
contig_1	cds	12932	13357	+	DKHMNA_00014		Pyridoxamine 5'-phosphate oxidase	RefSeq:WP_203666694.1, SO:0001217, UniParc:UPI0019432B5F, UniRef:UniRef100_A0A919U537, UniRef:UniRef50_A0AAJ2MES1, UniRef:UniRef90_A0A919U537
contig_1	cds	13371	13934	-	DKHMNA_00015		Glycolipid-binding domain-containing protein	RefSeq:WP_203666695.1, SO:0001217, UniParc:UPI0019440A7D, UniRef:UniRef100_A0A919P6R6, UniRef:UniRef50_R4T773, UniRef:UniRef90_A0A919P6R6
contig_1	cds	13937	15418	-	DKHMNA_00016		Sugar kinase	EC:2.7.1.12, KEGG:K25031, RefSeq:WP_203666696.1, SO:0001217, UniParc:UPI0019431E1D, UniRef:UniRef100_A0A919P5B7, UniRef:UniRef50_A0A7W7H1U6, UniRef:UniRef90_A0A7Z8JZ40
contig_1	cds	15614	16717	+	DKHMNA_00017		Winged helix DNA-binding domain-containing protein	RefSeq:WP_203666697.1, SO:0001217, UniParc:UPI001944ECB6, UniRef:UniRef100_A0A919P5I0, UniRef:UniRef50_A0A0V8T9Z9, UniRef:UniRef90_A0A919P5I0
contig_1	cds	16898	17845	+	DKHMNA_00018	bsh	choloylglycine hydrolase	EC:3.5.1.24, RefSeq:WP_203666698.1, SO:0001217, UniParc:UPI0019403F14, UniRef:UniRef100_A0A919P851, UniRef:UniRef50_A0A163QX20, UniRef:UniRef90_A0A919P851
contig_1	cds	17854	18795	-	DKHMNA_00019		FAD-binding FR-type domain-containing protein	RefSeq:WP_203666699.1, SO:0001217, UniParc:UPI0019424BFE, UniRef:UniRef100_A0A919PAC1, UniRef:UniRef50_A0A2S5W3M4, UniRef:UniRef90_A0A919PAC1
contig_1	cds	18897	20036	-	DKHMNA_00020		Rubrerythrin family protein	RefSeq:WP_203666700.1, SO:0001217, UniParc:UPI00194144DD, UniRef:UniRef100_A0A919P7N5, UniRef:UniRef50_F6FS92, UniRef:UniRef90_A0A919P7N5
contig_1	cds	20197	20562	-	DKHMNA_00021		Reductive dehalogenase subunit A	RefSeq:WP_203666701.1, SO:0001217, UniParc:UPI001943347B, UniRef:UniRef100_A0A919P8Z5, UniRef:UniRef50_A0A919V9E8, UniRef:UniRef90_A0A3M2JIK9
contig_1	cds	20624	21634	-	DKHMNA_00022		TIGR03557 family F420-dependent LLM class oxidoreductase	RefSeq:WP_203666702.1, SO:0001217, UniParc:UPI001943794B, UniRef:UniRef100_A0A919P7X9, UniRef:UniRef50_A0A162FWA6, UniRef:UniRef90_A0A7Z8K1Q6
contig_1	cds	21693	22556	-	DKHMNA_00023		SDR family oxidoreductase	RefSeq:WP_203666703.1, SO:0001217, UniParc:UPI001944C53F, UniRef:UniRef100_A0A919P5T8, UniRef:UniRef50_A0A3S9WE06, UniRef:UniRef90_A0A7Z8K3T4
contig_1	cds	22677	23072	+	DKHMNA_00024		Helix-turn-helix transcriptional regulator	RefSeq:WP_203666704.1, SO:0001217, UniParc:UPI001940872B, UniRef:UniRef100_A0A919P9M4, UniRef:UniRef50_T5KU82, UniRef:UniRef90_A0A7Z8K2M9
contig_1	cds	23161	24087	+	DKHMNA_00025		Peptidyl-prolyl cis-trans isomerase	RefSeq:WP_203666705.1, SO:0001217, UniParc:UPI0019407E3B, UniRef:UniRef100_A0A919U197, UniRef:UniRef50_D1BCX4, UniRef:UniRef90_A0A919U197
contig_1	cds	24223	26304	+	DKHMNA_00026		elongation factor G	GO:0003924, GO:0005525, KEGG:K02355, RefSeq:WP_203666706.1, SO:0001217, UniParc:UPI0019430AB2, UniRef:UniRef100_A0A919U400, UniRef:UniRef50_A0A0M0FBG8, UniRef:UniRef90_A0A7Z8K395
contig_1	cds	26321	26731	-	DKHMNA_00027	merR	MerR family transcriptional regulator	KEGG:K21745, RefSeq:WP_203666707.1, SO:0001217, UniParc:UPI001942FF96, UniRef:UniRef100_A0A919U4U2, UniRef:UniRef50_A0A066Z6P1, UniRef:UniRef90_A0A919U4U2
