# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	95	1672	+	IDLHCB_00001	dnaA	chromosomal replication initiator protein DnaA	GO:0003688, GO:0005524, GO:0006275, GO:0043565, KEGG:K02313, SO:0001217, UniRef:UniRef50_Q6ABL5, UniRef:UniRef90_A0A1I3ZYU3
contig_1	oriC	1673	2425	?			origin of replication	
contig_1	cds	2426	3556	+	IDLHCB_00002	dnaN	DNA polymerase III subunit beta	EC:2.7.7.7, GO:0003677, GO:0003887, GO:0006260, GO:0009360, KEGG:K02338, RefSeq:WP_013115256.1, SO:0001217, UniParc:UPI00019E3CA8, UniRef:UniRef100_D5UF35, UniRef:UniRef50_N6X4L0, UniRef:UniRef90_D5UF35
contig_1	cds	3658	4587	+	IDLHCB_00003	gnd	phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)	EC:1.1.1.343, EC:1.1.1.44, GO:0006098, GO:0016616, KEGG:K00033, RefSeq:WP_013115257.1, SO:0001217, UniParc:UPI00019E3CA7, UniRef:UniRef100_D5UF36, UniRef:UniRef50_N0DXQ9, UniRef:UniRef90_A0A4Y8UQX1
contig_1	cds	4593	5789	+	IDLHCB_00004	recF	DNA replication/repair protein RecF	GO:0003697, GO:0005524, GO:0006260, GO:0006281, GO:0006310, GO:0009432, RefSeq:WP_013115258.1, SO:0001217, UniParc:UPI00019E3CA6, UniRef:UniRef100_D5UF37, UniRef:UniRef50_A0JQT5, UniRef:UniRef90_D5UF37
contig_1	cds	5779	6402	+	IDLHCB_00005	dciA	Dna[CI] antecedent, DciA	RefSeq:WP_013115259.1, SO:0001217, UniParc:UPI0001D2A337, UniRef:UniRef100_D5UF38, UniRef:UniRef50_D5UF38, UniRef:UniRef90_D5UF38
contig_1	cds	6613	8709	+	IDLHCB_00006	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0006265, KEGG:K02470, RefSeq:WP_013115260.1, SO:0001217, UniParc:UPI00019E3CA4, UniRef:UniRef100_D5UF39, UniRef:UniRef50_P9WG45, UniRef:UniRef90_A0A1I3ZX58
contig_1	cds	8776	11388	+	IDLHCB_00007	gyrA	DNA gyrase subunit A	EC:5.6.2.2, GO:0003677, GO:0003916, GO:0003918, GO:0005524, GO:0006259, GO:0006265, KEGG:K02469, RefSeq:WP_013115261.1, SO:0001217, UniParc:UPI00019E3CA3, UniRef:UniRef100_D5UF40, UniRef:UniRef50_C5C7X9, UniRef:UniRef90_A0A0V8T953
contig_1	cds	11385	12302	+	IDLHCB_00008		DUF3566 domain-containing protein	RefSeq:WP_013115262.1, SO:0001217, UniParc:UPI0001D2A338, UniRef:UniRef100_D5UF41, UniRef:UniRef50_D5UF41, UniRef:UniRef90_D5UF41
contig_1	tRNA	12444	12517	+	IDLHCB_00009	trnI	tRNA-Ile(gat)	SO:0000263
contig_1	cds	12577	12696	+	IDLHCB_00010		Transporter	RefSeq:WP_013115263.1, SO:0001217, UniParc:UPI00019E3CA1, UniRef:UniRef100_D5UF42, UniRef:UniRef50_A0A0A0BCU6, UniRef:UniRef90_D5UF42
contig_1	tRNA	12713	12785	+	IDLHCB_00011	trnA	tRNA-Ala(tgc)	SO:0000254
contig_1	cds	12978	13370	+	IDLHCB_00012		hypothetical protein	SO:0001217, UniParc:UPI00019E3CA0, UniRef:UniRef100_D5UF43, UniRef:UniRef50_D5UF43, UniRef:UniRef90_D5UF43
contig_1	cds	13374	14390	+	IDLHCB_00013		Radical SAM domain protein	RefSeq:WP_013115265.1, SO:0001217, UniParc:UPI00019E3C9F, UniRef:UniRef100_D5UF44, UniRef:UniRef50_D5UF44, UniRef:UniRef90_D5UF44
contig_1	cds	14510	15739	+	IDLHCB_00014		3'-phosphate/5'-hydroxy nucleic acid ligase	SO:0001217, UniParc:UPI00019E3C9E, UniRef:UniRef100_D5UF45, UniRef:UniRef50_A0A1I7A7Y1, UniRef:UniRef90_D5UF45
contig_1	cds	16323	16526	+	IDLHCB_00015		Cold-shock DNA-binding domain protein	RefSeq:WP_013115267.1, SO:0001217, UniParc:UPI00019E3C9D, UniRef:UniRef100_D5UF46, UniRef:UniRef50_U2EJD7, UniRef:UniRef90_D5UF46
contig_1	cds	16699	17259	-	IDLHCB_00016		Restriction endonuclease domain-containing protein	RefSeq:WP_013115268.1, SO:0001217, UniParc:UPI00019E45AD, UniRef:UniRef100_D5UFH5, UniRef:UniRef50_F8A1M5, UniRef:UniRef90_D5UFH5
