genome,num_ref_hits
Cellulomonas_algicola,3
Cellulomonas_cellasea,3
Cellulomonas_composti,2
Cellulomonas_fimi,3
Cellulomonas_flavigena,3
Cellulomonas_fulva,3
Cellulomonas_gilvus,3
Cellulomonas_iranensis,3
Cellulomonas_palmilytica,3
Cellulomonas_soli,2
Cellulomonas_terrae,3
Cellulomonas_uda,3
Cellulomonas_wangleii,3
Cellulomonas_wangsupingiae,3
Cellulomonas_xiejunii,3
Cellulomonas_xylanilytica,3
