# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	69	323	+	BECPHK_00001		hypothetical protein	PFAM:PF02803.24
contig_1	cds	320	2440	+	BECPHK_00002		3-hydroxyacyl-CoA dehydrogenase	RefSeq:WP_070320946.1, SO:0001217, UniParc:UPI0008777317, UniRef:UniRef100_UPI0008777317, UniRef:UniRef50_F6FW37, UniRef:UniRef90_A0A0V8SGN7
contig_1	cds	2797	3699	+	BECPHK_00003		AbiEi antitoxin C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_D5UEG0, UniRef:UniRef90_A0A0V8SL25
contig_1	cds	3916	4797	-	BECPHK_00004	pflA	pyruvate formate-lyase-activating protein	EC:1.97.1.4, GO:0043365, RefSeq:WP_082739778.1, SO:0001217, UniParc:UPI0009EA6043, UniRef:UniRef100_UPI0009EA6043, UniRef:UniRef50_D9QE24, UniRef:UniRef90_A0A4Y8UMD6
contig_1	cds	4891	7161	-	BECPHK_00005	pflB	formate C-acetyltransferase	EC:2.3.1.54, GO:0005737, GO:0005975, GO:0008861, RefSeq:WP_070318903.1, SO:0001217, UniParc:UPI0008777D29, UniRef:UniRef100_A0A4Y8UPR6, UniRef:UniRef50_Q2G1D8, UniRef:UniRef90_A0A0V8SL53
contig_1	cds	7323	9200	-	BECPHK_00006	dxs	1-deoxy-D-xylulose-5-phosphate synthase	EC:2.2.1.7, GO:0005737, GO:0008615, GO:0008661, GO:0009228, GO:0009240, KEGG:K01662, RefSeq:WP_046530496.1, SO:0001217, UniParc:UPI000625DF15, UniRef:UniRef100_UPI000625DF15, UniRef:UniRef50_B2GJ56, UniRef:UniRef90_A0A0V8SL48
contig_1	cds	9261	9869	-	BECPHK_00007		DUF4126 domain-containing protein	RefSeq:WP_070318904.1, SO:0001217, UniParc:UPI0008779E84, UniRef:UniRef100_UPI0008779E84, UniRef:UniRef50_F8A491, UniRef:UniRef90_A0A0V8SKZ0
contig_1	cds	9987	11441	+	BECPHK_00008	guaB1	GuaB1 family IMP dehydrogenase-related protein	GO:0003938, RefSeq:WP_070318905.1, SO:0001217, UniParc:UPI000877839B, UniRef:UniRef100_A0A4Y8UMH9, UniRef:UniRef50_A0QYE8, UniRef:UniRef90_D5UEF5
contig_1	cds	11447	12148	+	BECPHK_00009		Glutamine amidotransferase	EC:6.3.5.2, KEGG:K01951, RefSeq:WP_070318948.1, SO:0001217, UniParc:UPI0008776DCD, UniRef:UniRef100_UPI0008776DCD, UniRef:UniRef50_A0A511FE92, UniRef:UniRef90_A0A0V8SLC5
contig_1	cds	12145	12843	+	BECPHK_00010		Coenzyme A pyrophosphatase	RefSeq:WP_070318906.1, SO:0001217, UniParc:UPI00087794E0, UniRef:UniRef100_UPI00087794E0, UniRef:UniRef50_A0A2U1ZS37, UniRef:UniRef90_A0A0V8SL15
contig_1	cds	12902	13819	+	BECPHK_00011		Phosphotransferase	SO:0001217, UniRef:UniRef50_A0A848LR46, UniRef:UniRef90_A0A0V8SL60
