# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	69	1571	+	BNINGP_00001	dnaA	chromosomal replication initiator protein DnaA	COG:COG0593, COG:L, GO:0003688, GO:0005524, GO:0006275, GO:0043565, KEGG:K02313, RefSeq:WP_013769183.1, SO:0001217, UniParc:UPI00020BD753, UniRef:UniRef100_A0AB38VZM5, UniRef:UniRef50_A6W3V4, UniRef:UniRef90_A0A0T0MLQ5
contig_1	oriC	1572	2400	?			origin of replication	
contig_1	cds	2401	3531	+	BNINGP_00002	dnaN	DNA polymerase III subunit beta	COG:COG0592, COG:L, EC:2.7.7.7, GO:0003677, GO:0003887, GO:0006260, GO:0009360, KEGG:K02338, RefSeq:WP_013769184.1, SO:0001217, UniParc:UPI00020BD754, UniRef:UniRef100_A0AB38VTZ6, UniRef:UniRef50_A0A0E3URH8, UniRef:UniRef90_A0A7Y6A4Q6
contig_1	cds	3631	4578	+	BNINGP_00003	gnd	phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)	COG:COG1023, COG:G, EC:1.1.1.343, EC:1.1.1.44, GO:0006098, GO:0016616, KEGG:K00033, RefSeq:WP_013769185.1, SO:0001217, UniParc:UPI00020BD755, UniRef:UniRef100_A0AB38VUP9, UniRef:UniRef50_N0DXQ9, UniRef:UniRef90_A0A6C0FN60
contig_1	cds	4688	5959	+	BNINGP_00004	recF	DNA replication/repair protein RecF	COG:COG1195, COG:L, GO:0003697, GO:0005524, GO:0006260, GO:0006281, GO:0006310, GO:0009432, RefSeq:WP_013769186.1, SO:0001217, UniParc:UPI00020BD756, UniRef:UniRef100_A0AB38VY30, UniRef:UniRef50_Q6ABL2, UniRef:UniRef90_A0AB38VY30
contig_1	cds	5949	6536	+	BNINGP_00005		Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives	COG:COG5512, COG:R, RefSeq:WP_013769187.1, SO:0001217, UniParc:UPI00020BD757, UniRef:UniRef100_A0AB38VVX5, UniRef:UniRef50_A0A510USV8, UniRef:UniRef90_A0AB38VVX5
contig_1	cds	6752	8800	+	BNINGP_00006	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	COG:COG0187, COG:L, EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0006265, KEGG:K02470, RefSeq:WP_013769188.1, SO:0001217, UniParc:UPI00020BD758, UniRef:UniRef100_A0AB38VUU2, UniRef:UniRef50_A0A448HI68, UniRef:UniRef90_A0A6C0FRC8
contig_1	cds	8867	11479	+	BNINGP_00007	gyrA	DNA gyrase subunit A	COG:COG0188, COG:L, EC:5.6.2.2, GO:0003677, GO:0003916, GO:0003918, GO:0005524, GO:0006259, GO:0006265, KEGG:K02469, RefSeq:WP_013769189.1, SO:0001217, UniParc:UPI00020BD759, UniRef:UniRef100_A0AB38VUD3, UniRef:UniRef50_C5C7X9, UniRef:UniRef90_A0A6C0FKH5
contig_1	cds	11476	12312	+	BNINGP_00008		DUF3566 domain-containing protein	RefSeq:WP_013769190.1, SO:0001217, UniParc:UPI00020BD75A, UniRef:UniRef100_A0AB38VU99, UniRef:UniRef50_A0A512D7K3, UniRef:UniRef90_A0AB38VU99
contig_1	tRNA	12410	12483	+	BNINGP_00009	trnI	tRNA-Ile(gat)	SO:0000263
