# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	864	3170	+	NDFEDG_00001		Glycoside hydrolase	SO:0001217, UniRef:UniRef50_A0A6J4UC59, UniRef:UniRef90_A0A0A0B716
contig_1	cds	3330	5927	+	NDFEDG_00002		Glycosyl hydrolase family 1	SO:0001217, UniParc:UPI00051F3F8E, UniRef:UniRef100_A0A0A0BBG7, UniRef:UniRef50_A0A0A0BBG7, UniRef:UniRef90_A0A0A0BBG7
contig_1	cds	5924	6241	+	NDFEDG_00003		PD-(D/E)XK endonuclease-like domain-containing protein	RefSeq:WP_034628049.1, SO:0001217, UniParc:UPI00051F3666, UniRef:UniRef100_A0A0A0B936, UniRef:UniRef50_A0A0A0B936, UniRef:UniRef90_A0A0A0B936
contig_1	cds	6238	7428	+	NDFEDG_00004	glf	UDP-galactopyranose mutase	EC:5.4.99.9, GO:0008767, GO:0009273, KEGG:K01854, RefSeq:WP_052103894.1, SO:0001217, UniParc:UPI00051F4BDC, UniRef:UniRef100_A0A0A0B8Z9, UniRef:UniRef50_P9WIQ1, UniRef:UniRef90_A0A7W4YBS6
contig_1	cds	7513	9843	-	NDFEDG_00005		PAS domain-containing protein	RefSeq:WP_052103897.1, SO:0001217, UniParc:UPI00051F3585, UniRef:UniRef100_A0A0A0BA06, UniRef:UniRef50_A0A0A0BA06, UniRef:UniRef90_A0A0A0BA06
contig_1	cds	10054	10896	+	NDFEDG_00006		FAD-binding PCMH-type domain-containing protein	RefSeq:WP_034628052.1, SO:0001217, UniParc:UPI00051F2C9E, UniRef:UniRef100_A0A0A0B721, UniRef:UniRef50_Q5YNZ9, UniRef:UniRef90_A0A0A0B721
contig_1	cds	10893	13715	+	NDFEDG_00007		Aldehyde oxidase	KEGG:K12528, RefSeq:WP_052103899.1, SO:0001217, UniParc:UPI00051F4C60, UniRef:UniRef100_A0A0A0BBH2, UniRef:UniRef50_A5CSA4, UniRef:UniRef90_A0A0A0BBH2
contig_1	cds	13799	14731	-	NDFEDG_00008		DUF72 domain-containing protein	RefSeq:WP_141371809.1, SO:0001217, UniParc:UPI0011450BEE, UniRef:UniRef100_A0A4Y3KT03, UniRef:UniRef50_B1ZWK1, UniRef:UniRef90_A0A0A0B942
contig_1	cds	14780	15946	-	NDFEDG_00009		Xanthine dehydrogenase accessory factor	KEGG:K07402, RefSeq:WP_034628054.1, SO:0001217, UniParc:UPI00051F4C1F, UniRef:UniRef100_A0A0A0B904, UniRef:UniRef50_A0A0Q5LJ08, UniRef:UniRef90_A0A0A0B904
contig_1	cds	16079	17548	+	NDFEDG_00010	allB	allantoinase AllB	EC:3.5.2.5, GO:0000256, GO:0004038, GO:0008270, GO:0050897, KEGG:K01466, RefSeq:WP_141371810.1, SO:0001217, UniParc:UPI0011427749, UniRef:UniRef100_A0A4Y3KPU8, UniRef:UniRef50_A0A2M9CYZ8, UniRef:UniRef90_A0A4Y3KPU8
contig_1	cds	17582	18493	+	NDFEDG_00011	pucL	factor-independent urate hydroxylase	EC:1.7.3.3, GO:0004846, GO:0019628, KEGG:K00365, RefSeq:WP_141371811.1, SO:0001217, UniParc:UPI0011422B0F, UniRef:UniRef100_A0A4Y3KQ59, UniRef:UniRef50_A0A495XZH6, UniRef:UniRef90_A0A4Y3KQ59
contig_1	cds	18490	18993	+	NDFEDG_00012		Guanine deaminase	RefSeq:WP_141371812.1, SO:0001217, UniParc:UPI00114454E7, UniRef:UniRef100_A0A4Y3KRP4, UniRef:UniRef50_A0A165S1H2, UniRef:UniRef90_A0A7W4UFU0
contig_1	cds	19072	19446	-	NDFEDG_00013	uraH	hydroxyisourate hydrolase	EC:3.5.2.17, GO:0006144, GO:0033971, RefSeq:WP_141371813.1, SO:0001217, UniParc:UPI0011421E69, UniRef:UniRef100_A0A4Y3KS94, UniRef:UniRef50_A0A5C2FTY3, UniRef:UniRef90_A0A4Y3KS94
contig_1	cds	19443	19934	-	NDFEDG_00014		2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase	SO:0001217, UniParc:UPI001168DC65, UniRef:UniRef100_A0A4Y3KR46, UniRef:UniRef50_A0A4Y8KSX3, UniRef:UniRef90_A0A7W4UEP1
contig_1	cds	19942	20598	+	NDFEDG_00015	mocA	CTP:molybdopterin cytidylyltransferase MocA	EC:2.7.7.76, KEGG:K07141, RefSeq:WP_141371815.1, SO:0001217, UniParc:UPI001144B60E, UniRef:UniRef100_A0A4Y3KQ70, UniRef:UniRef50_A0A0Q5CRY7, UniRef:UniRef90_A0A7W4UEK6
