genome,AAD48494.3,AAW62376.2,ABD96969.1
Cellulomonas_algicola,1,1,1
Cellulomonas_cellasea,1,1,1
Cellulomonas_composti,0,1,1
Cellulomonas_fimi,1,1,1
Cellulomonas_flavigena,1,1,1
Cellulomonas_fulva,1,1,1
Cellulomonas_gilvus,1,1,1
Cellulomonas_iranensis,1,1,1
Cellulomonas_palmilytica,1,1,1
Cellulomonas_soli,1,1,0
Cellulomonas_terrae,1,1,1
Cellulomonas_uda,1,1,1
Cellulomonas_wangleii,1,1,1
Cellulomonas_wangsupingiae,1,1,1
Cellulomonas_xiejunii,1,1,1
Cellulomonas_xylanilytica,1,1,1
