# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	395	1426	-	BDPILM_00001		5,10-methylenetetrahydromethanopterin reductase	EC:1.5.98.2, KEGG:K00320, RefSeq:WP_146952207.1, SO:0001217, UniParc:UPI0011927BFD, UniRef:UniRef100_A0A512PB78, UniRef:UniRef50_A0A378T2U2, UniRef:UniRef90_F8A080
contig_1	cds	1440	2858	-	BDPILM_00002	hydA	dihydropyrimidinase	EC:3.5.2.2, GO:0004157, GO:0005737, GO:0008152, RefSeq:WP_146952206.1, SO:0001217, UniParc:UPI00119481FE, UniRef:UniRef100_A0A512PBH1, UniRef:UniRef50_O69809, UniRef:UniRef90_A0A0A0B730
contig_1	cds	2909	3757	-	BDPILM_00003		N-carbamoylputrescine amidase	EC:3.5.1.6, KEGG:K01431, RefSeq:WP_146952205.1, SO:0001217, UniParc:UPI0011920026, UniRef:UniRef100_A0A512PB76, UniRef:UniRef50_A0A6J4XC72, UniRef:UniRef90_A0A511FHE5
contig_1	cds	3973	5400	+	BDPILM_00004	gntR	GntR family transcriptional regulator	SO:0001217, UniParc:UPI00118FBE4F, UniRef:UniRef100_A0A512PB74, UniRef:UniRef50_A0A0Q7MDV2, UniRef:UniRef90_A0A512PB74
contig_1	cds	5489	6475	+	BDPILM_00005	cofD	2-phospho-L-lactate transferase	EC:2.7.8.28, GO:0000287, GO:0043743, KEGG:K11212, RefSeq:WP_146952203.1, SO:0001217, UniParc:UPI001194CBB0, UniRef:UniRef100_A0A512PB73, UniRef:UniRef50_P9WP81, UniRef:UniRef90_A0A512PB73
contig_1	cds	6518	7204	-	BDPILM_00006	cofC	2-phospho-L-lactate guanylyltransferase	EC:2.7.7.105, EC:2.7.7.68, GO:0043814, KEGG:K14941, RefSeq:WP_146952202.1, SO:0001217, UniParc:UPI00119589D3, UniRef:UniRef100_A0A512PB88, UniRef:UniRef50_E8NCH2, UniRef:UniRef90_A0A512PB88
contig_1	cds	7255	7824	+	BDPILM_00007		(Fe-S)-cluster assembly protein	RefSeq:WP_146952201.1, SO:0001217, UniParc:UPI00119481EF, UniRef:UniRef100_A0A512PB71, UniRef:UniRef50_Q5Z370, UniRef:UniRef90_A0A512PB71
contig_1	cds	7866	8714	-	BDPILM_00008		coenzyme F420-0:L-glutamate ligase	EC:6.3.2.31, GO:0043773, GO:0046872, RefSeq:WP_146952200.1, SO:0001217, UniParc:UPI001194634C, UniRef:UniRef100_A0A512PBA9, UniRef:UniRef50_A0A5P9Q8Q2, UniRef:UniRef90_A0A512PBA9
contig_1	cds	8711	9724	-	BDPILM_00009		TIGR03557 family F420-dependent LLM class oxidoreductase	SO:0001217, UniRef:UniRef50_A0A168EZE7, UniRef:UniRef90_A0A4P7SMV2
contig_1	cds	9801	10841	-	BDPILM_00010		Membrane protein	RefSeq:WP_146952199.1, SO:0001217, UniParc:UPI001197BA39, UniRef:UniRef100_A0A512PB66, UniRef:UniRef50_A0A0Q5J897, UniRef:UniRef90_A0A512PB66
