# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	503	1435	-	EKNMMA_00001		tetratricopeptide repeat protein	RefSeq:WP_214345692.1, SO:0001217, UniParc:UPI001BDBF9EB, UniRef:UniRef100_UPI001BDBF9EB, UniRef:UniRef50_A9WND7, UniRef:UniRef90_UPI001BDBF9EB
contig_1	cds	1567	2571	-	EKNMMA_00002		hypothetical protein	RefSeq:WP_214345693.1, SO:0001217, UniParc:UPI001BDC2E59, UniRef:UniRef100_UPI001BDC2E59, UniRef:UniRef50_UPI001BDC2E59, UniRef:UniRef90_UPI001BDC2E59
contig_1	cds	2568	4490	-	EKNMMA_00003		SH3b domain-containing protein	RefSeq:WP_214345694.1, SO:0001217, UniParc:UPI001BDD6E57, UniRef:UniRef100_UPI001BDD6E57, UniRef:UniRef50_A0A4Y3KD93, UniRef:UniRef90_UPI001BDD6E57
contig_1	cds	4722	6983	+	EKNMMA_00004		Apolipoprotein A1/A4/E	RefSeq:WP_237689008.1, SO:0001217, UniParc:UPI001F18759D, UniRef:UniRef100_UPI001F18759D, UniRef:UniRef50_D5ULF1, UniRef:UniRef90_UPI001F18759D
contig_1	cds	7029	7562	+	EKNMMA_00005		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A8J3YNG7, UniRef:UniRef90_UPI001BDD1506
contig_1	cds	7572	8348	-	EKNMMA_00006		alpha/beta fold hydrolase	RefSeq:WP_214345696.1, SO:0001217, UniParc:UPI001BDC2C59, UniRef:UniRef100_UPI001BDC2C59, UniRef:UniRef50_D1BCX6, UniRef:UniRef90_UPI001BDC2C59
contig_1	cds	8345	9229	-	EKNMMA_00007		alpha/beta hydrolase	RefSeq:WP_237689009.1, SO:0001217, UniParc:UPI001F32C362, UniRef:UniRef100_UPI001F32C362, UniRef:UniRef50_A0A1I2HJS1, UniRef:UniRef90_UPI001F32C362
contig_1	cds	9240	10142	-	EKNMMA_00008		HAD hydrolase family protein	RefSeq:WP_307858003.1, SO:0001217, UniParc:UPI0027DD23EB, UniRef:UniRef100_UPI0027DD23EB, UniRef:UniRef50_A0A3N2FFT9, UniRef:UniRef90_UPI0027DD23EB
contig_1	cds	10144	10446	-	EKNMMA_00009		ATP/GTP-binding protein	RefSeq:WP_214345697.1, SO:0001217, UniParc:UPI001BDCADAC, UniRef:UniRef100_UPI001BDCADAC, UniRef:UniRef50_A0A0H2KS73, UniRef:UniRef90_UPI001BDCADAC
contig_1	cds	10488	11933	-	EKNMMA_00010		GH1 family beta-glucosidase	EC:3.2.1.21, GO:0008422, GO:0030245, RefSeq:WP_214345698.1, SO:0001217, UniParc:UPI001BDBF843, UniRef:UniRef100_UPI001BDBF843, UniRef:UniRef50_A0A7Y6A0P4, UniRef:UniRef90_UPI001BDBF843
contig_1	cds	12098	14392	-	EKNMMA_00011	yicI	alpha-xylosidase	EC:3.2.1.177, GO:0004553, GO:0005975, RefSeq:WP_214345699.1, SO:0001217, UniParc:UPI001BDCD6A4, UniRef:UniRef100_UPI001BDCD6A4, UniRef:UniRef50_P31434, UniRef:UniRef90_UPI001BDCD6A4
contig_1	cds	14389	16527	-	EKNMMA_00012		beta-galactosidase	RefSeq:WP_214345700.1, SO:0001217, UniParc:UPI001BDCB30E, UniRef:UniRef100_UPI001BDCB30E, UniRef:UniRef50_F8A204, UniRef:UniRef90_UPI001BDCB30E
contig_1	cds	16749	17759	+	EKNMMA_00013	lacI	LacI family DNA-binding transcriptional regulator	RefSeq:WP_214345701.1, SO:0001217, UniParc:UPI001BDC11E6, UniRef:UniRef100_UPI001BDC11E6, UniRef:UniRef50_A0A401V2Q9, UniRef:UniRef90_UPI001BDC11E6
contig_1	cds	17767	20169	-	EKNMMA_00014		glycosyl hydrolase family 95 catalytic domain-containing protein	EC:3.2.1.51, KEGG:K15923, RefSeq:WP_214345702.1, SO:0001217, UniParc:UPI001BDC2208, UniRef:UniRef100_UPI001BDC2208, UniRef:UniRef50_F8A206, UniRef:UniRef90_UPI001BDC2208
