# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	704	2125	+	CKJGAP_00001		hypothetical protein	
contig_1	cds	2074	2952	+	CKJGAP_00002		Replicase polyprotein 1ab	SO:0001217, UniParc:UPI00116CF20F, UniRef:UniRef100_A0A511J6L4, UniRef:UniRef50_A0A0H2KIA5, UniRef:UniRef90_A0A511J6L4
contig_1	cds	2949	3980	+	CKJGAP_00003		Haloacid dehalogenase	RefSeq:WP_146840932.1, SO:0001217, UniParc:UPI00116E9BC3, UniRef:UniRef100_A0A511J5U0, UniRef:UniRef50_A0A5C8JPN4, UniRef:UniRef90_A0A511J5U0
contig_1	cds	4133	4369	+	CKJGAP_00004		hypothetical protein	RefSeq:WP_146840933.1, SO:0001217, UniParc:UPI0011BE951A, UniRef:UniRef100_UPI0011BE951A, UniRef:UniRef50_A0A511J5S1, UniRef:UniRef90_A0A511J5S1
contig_1	cds	4372	5259	+	CKJGAP_00005	tlyA	TlyA family rRNA (Cytidine-2'-O)-methyltransferase	EC:2.1.1.226, EC:2.1.1.227, KEGG:K06442, RefSeq:WP_222593102.1, SO:0001217, UniParc:UPI00116CB820, UniRef:UniRef100_A0A511J5R5, UniRef:UniRef50_A0A2I2KTA8, UniRef:UniRef90_A0A511J5R5
contig_1	cds	5256	6131	+	CKJGAP_00006		NAD kinase	EC:2.7.1.23, GO:0003951, GO:0006741, GO:0019674, KEGG:K00858, RefSeq:WP_146840935.1, SO:0001217, UniParc:UPI0011692851, UniRef:UniRef100_A0A511J5R6, UniRef:UniRef50_A0A0Q7MHL7, UniRef:UniRef90_A0A511J5R6
contig_1	cds	6128	7867	+	CKJGAP_00007	recN	DNA repair protein RecN	GO:0005524, GO:0006281, GO:0006310, RefSeq:WP_146840936.1, SO:0001217, UniParc:UPI0011750127, UniRef:UniRef100_A0A511J5R0, UniRef:UniRef50_Q49896, UniRef:UniRef90_A0A511J5R0
contig_1	cds	7874	9058	+	CKJGAP_00008	steA	putative cytokinetic ring protein SteA	RefSeq:WP_146840937.1, SO:0001217, UniParc:UPI00116DD2CD, UniRef:UniRef100_A0A511J6N8, UniRef:UniRef50_A0A163QHB6, UniRef:UniRef90_F8A7N6
contig_1	cds	9150	10223	+	CKJGAP_00009	mctB	Copper transporter MctB	RefSeq:WP_146840938.1, SO:0001217, UniParc:UPI00116F2B47, UniRef:UniRef100_A0A511J5R7, UniRef:UniRef50_A0A511J5R7, UniRef:UniRef90_A0A511J5R7
contig_1	cds	10220	11101	+	CKJGAP_00010		Glycosyl transferase family 4	RefSeq:WP_146840939.1, SO:0001217, UniParc:UPI00116AAA5C, UniRef:UniRef100_A0A511J5U5, UniRef:UniRef50_A0A2T0XUK3, UniRef:UniRef90_A0A511J5U5
contig_1	cds	11098	12738	+	CKJGAP_00011		Membrane protein	KEGG:K03980, RefSeq:WP_246117225.1, SO:0001217, UniParc:UPI00117541FE, UniRef:UniRef100_A0A511J5S0, UniRef:UniRef50_A0A512DFT9, UniRef:UniRef90_A0A511J5S0
contig_1	cds	12745	14412	+	CKJGAP_00012		CTP synthase	EC:6.3.4.2, GO:0003883, GO:0006221, GO:0006241, KEGG:K01937, RefSeq:WP_146840940.1, SO:0001217, UniParc:UPI0011683E1E, UniRef:UniRef100_A0A511J6M4, UniRef:UniRef50_Q8Y495, UniRef:UniRef90_F8A7N2
contig_1	cds	14415	15020	+	CKJGAP_00013		NTP pyrophosphohydrolase	EC:3.6.1.58, KEGG:K01554, SO:0001217, UniParc:UPI00116CB4DA, UniRef:UniRef100_A0A511J5U7, UniRef:UniRef50_A0A168EU00, UniRef:UniRef90_A0A511J5U7
contig_1	cds	15037	15849	-	CKJGAP_00014		Transport permease protein	RefSeq:WP_146840942.1, SO:0001217, UniParc:UPI000B2E3D75, UniRef:UniRef100_A0A511J5S6, UniRef:UniRef50_A0A251XXP5, UniRef:UniRef90_A0A511J5S6
contig_1	cds	15849	16853	-	CKJGAP_00015	drrA	Daunorubicin resistance protein DrrA family ABC transporter ATP-binding protein	RefSeq:WP_146840943.1, SO:0001217, UniParc:UPI0011BEE2A1, UniRef:UniRef100_A0A511J5T0, UniRef:UniRef50_A0A0H5NFU1, UniRef:UniRef90_A0A511J5T0
contig_1	cds	16917	17921	-	CKJGAP_00016		Protein required for cytochrome oxidase assembly	EC:1.17.99.9, KEGG:K02259, RefSeq:WP_246117226.1, SO:0001217, UniParc:UPI00116E2C9F, UniRef:UniRef100_A0A511J5S9, UniRef:UniRef50_F8A7M8, UniRef:UniRef90_A0A511J5S9
contig_1	cds	17995	18777	-	CKJGAP_00017		Transport permease protein	RefSeq:WP_146840945.1, SO:0001217, UniParc:UPI0011698DAC, UniRef:UniRef100_A0A511J5S8, UniRef:UniRef50_A0A222XEH9, UniRef:UniRef90_A0A511J5S8
contig_1	cds	18774	19703	-	CKJGAP_00018		ABC transporter ATP-binding protein	RefSeq:WP_371862449.1, SO:0001217, UniParc:UPI00116C45D5, UniRef:UniRef100_A0A511J6P9, UniRef:UniRef50_A0A0Q0UFP2, UniRef:UniRef90_A0A511J6P9
contig_1	cds	19751	20599	-	CKJGAP_00019		Peptidase M15B domain-containing protein	RefSeq:WP_146840947.1, SO:0001217, UniParc:UPI00116CC6DF, UniRef:UniRef100_A0A511J5T2, UniRef:UniRef50_A0A511J5T2, UniRef:UniRef90_A0A511J5T2
contig_1	cds	20864	21622	+	CKJGAP_00020		Transcriptional regulator	RefSeq:WP_146840948.1, SO:0001217, UniParc:UPI00116AEFBD, UniRef:UniRef100_A0A511J5W0, UniRef:UniRef50_A0A510V0J7, UniRef:UniRef90_A0A511J5W0
contig_1	cds	21619	23049	+	CKJGAP_00021	sufB	Fe-S cluster assembly protein SufB	GO:0016226, KEGG:K09014, RefSeq:WP_146840949.1, SO:0001217, UniParc:UPI000A8031F5, UniRef:UniRef100_A0A511J5S7, UniRef:UniRef50_Q5YTT3, UniRef:UniRef90_A0A511J5S7
contig_1	cds	23049	24350	+	CKJGAP_00022	sufD	Fe-S cluster assembly protein SufD	GO:0016226, KEGG:K09015, RefSeq:WP_146840950.1, SO:0001217, UniParc:UPI0011693539, UniRef:UniRef100_A0A511J6N4, UniRef:UniRef50_N6W5Z1, UniRef:UniRef90_A0A511J6N4
contig_1	cds	24347	24679	+	CKJGAP_00023		Rieske domain-containing protein	RefSeq:WP_146840951.1, SO:0001217, UniParc:UPI00116DBE44, UniRef:UniRef100_A0A511J5V8, UniRef:UniRef50_A0A4Y3KG87, UniRef:UniRef90_A0A4Y3KG87
contig_1	cds	24709	25464	+	CKJGAP_00024	sufC	Fe-S cluster assembly ATPase SufC	COG:COG0396, COG:O, GO:0005524, GO:0016226, RefSeq:WP_146840952.1, SO:0001217, UniParc:UPI000A6C216A, UniRef:UniRef100_A0A511J5T9, UniRef:UniRef50_A0A0H3ECA5, UniRef:UniRef90_A0A0V8SD74
contig_1	cds	25538	26845	+	CKJGAP_00025		Cysteine desulfurase	EC:2.8.1.7, EC:4.4.1.16, KEGG:K11717, RefSeq:WP_146840953.1, SO:0001217, UniParc:UPI00116828DA, UniRef:UniRef100_A0A511J5T6, UniRef:UniRef50_P9WQ69, UniRef:UniRef90_A0A511J5T6
contig_1	cds	26842	27330	+	CKJGAP_00026	sufU	Fe-S cluster assembly sulfur transfer protein SufU	GO:0005198, GO:0016226, RefSeq:WP_146840954.1, SO:0001217, UniParc:UPI00116DAC12, UniRef:UniRef100_A0A511J5T5, UniRef:UniRef50_A0A1D9MKG9, UniRef:UniRef90_A0A511J5T5
contig_1	cds	27327	27653	+	CKJGAP_00027		MIP18 family-like domain-containing protein	RefSeq:WP_146840955.1, SO:0001217, UniParc:UPI000AED8FE9, UniRef:UniRef100_A0A511J5U1, UniRef:UniRef50_F8A7L7, UniRef:UniRef90_F8A7L7
contig_1	cds	27940	28986	-	CKJGAP_00028		HTH OST-type domain-containing protein	RefSeq:WP_146840956.1, SO:0001217, UniParc:UPI00116B5E99, UniRef:UniRef100_A0A511J6Q7, UniRef:UniRef50_A0AA97FK21, UniRef:UniRef90_A0A511J6Q7
contig_1	cds	29054	29947	-	CKJGAP_00029		Membrane protein	KEGG:K07054, RefSeq:WP_146840957.1, SO:0001217, UniParc:UPI0011694D3F, UniRef:UniRef100_A0A511J5U3, UniRef:UniRef50_A0A7W9CNC8, UniRef:UniRef90_A0A511J5U3
contig_1	cds	29944	30660	-	CKJGAP_00030		Cobalt ABC transporter	RefSeq:WP_146840958.1, SO:0001217, UniParc:UPI00116ACC9A, UniRef:UniRef100_A0A511J5W8, UniRef:UniRef50_A0A511J5W8, UniRef:UniRef90_A0A511J5W8
