# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1469	2365	-	KBFOAK_00001		urea amidolyase associated protein UAAP2	SO:0001217, UniRef:UniRef50_A0A401UZB3, UniRef:UniRef90_A0A401UZB3
contig_1	cds	2362	3213	-	KBFOAK_00002		Urea carboxylase-associated family protein	RefSeq:WP_124342548.1, SO:0001217, UniParc:UPI000F57B695, UniRef:UniRef100_A0A401UZF4, UniRef:UniRef50_A0A1M4EF99, UniRef:UniRef90_A0A6C0FP88
contig_1	cds	3382	4281	+	KBFOAK_00003		HTH tetR-type domain-containing protein	RefSeq:WP_218050871.1, SO:0001217, UniParc:UPI001C3FA42E, UniRef:UniRef100_UPI001C3FA42E, UniRef:UniRef50_A0A401UZB1, UniRef:UniRef90_A0A401UZB1
contig_1	cds	4370	5656	+	KBFOAK_00004		histidine kinase	RefSeq:WP_218050872.1, SO:0001217, UniParc:UPI001C3F5410, UniRef:UniRef100_UPI001C3F5410, UniRef:UniRef50_A0A4Y3KU89, UniRef:UniRef90_A0A401UZQ1
contig_1	cds	5653	6294	+	KBFOAK_00005		Response regulator transcription factor	RefSeq:WP_124342546.1, SO:0001217, UniParc:UPI000F55DE6D, UniRef:UniRef100_A0A401UZA8, UniRef:UniRef50_D9WCE0, UniRef:UniRef90_A0A6C0FP33
contig_1	cds	6536	8137	+	KBFOAK_00006		Sodium:solute symporter	RefSeq:WP_124342545.1, SO:0001217, UniParc:UPI000F55A970, UniRef:UniRef100_A0A401UZB2, UniRef:UniRef50_A0A1Q9SF17, UniRef:UniRef90_A0A6C0FT11
contig_1	cds	8287	8643	-	KBFOAK_00007		Cupin domain-containing protein	RefSeq:WP_218050873.1, SO:0001217, UniParc:UPI001C3F53C4, UniRef:UniRef100_UPI001C3F53C4, UniRef:UniRef50_A0A402DQI8, UniRef:UniRef90_A0A6C0FQJ3
contig_1	cds	8675	9583	-	KBFOAK_00008		Adenine DNA glycosylase	EC:3.2.2.31, KEGG:K03575, RefSeq:WP_308160291.1, SO:0001217, UniParc:UPI0027E07D16, UniRef:UniRef100_UPI0027E07D16, UniRef:UniRef50_A0A0U5BQV4, UniRef:UniRef90_A0A401V570
contig_2	cds	803	1876	-	KBFOAK_00009	nusA	Transcription termination/antitermination protein NusA	RefSeq:WP_225916401.1, SO:0001217, UniParc:UPI000FF92881, UniRef:UniRef100_A0A401UZC1, UniRef:UniRef50_A3TRX8, UniRef:UniRef90_A0A6C0FFP7
contig_2	cds	1878	2459	-	KBFOAK_00010	rimP	Ribosome maturation factor RimP	RefSeq:WP_218051870.1, SO:0001217, UniParc:UPI001C3FC7A5, UniRef:UniRef100_UPI001C3FC7A5, UniRef:UniRef50_A0A7W4UJK3, UniRef:UniRef90_A0A6C0FFE7
contig_2	cds	2600	3706	+	KBFOAK_00011		DUF4439 domain-containing protein	RefSeq:WP_124342557.1, SO:0001217, UniParc:UPI000F57BFAA, UniRef:UniRef100_A0A401UZB8, UniRef:UniRef50_A0A512PBF4, UniRef:UniRef90_A0A401UZB8
contig_2	cds	3932	5725	-	KBFOAK_00012		proline--tRNA ligase	EC:6.1.1.15, GO:0000166, GO:0002161, GO:0004812, GO:0004827, GO:0005524, GO:0006418, GO:0006433, KEGG:K01881, RefSeq:WP_124342556.1, SO:0001217, UniParc:UPI000F57D225, UniRef:UniRef100_A0A401UZC2, UniRef:UniRef50_P9WFT9, UniRef:UniRef90_A0A6C0FS55
contig_2	cds	5806	6696	+	KBFOAK_00013	nei	Formamidopyrimidine-DNA glycosylase	COG:COG0266, COG:L, EC:3.2.2.23, EC:4.2.99.18, KEGG:K10563, RefSeq:WP_218051871.1, SO:0001217, UniParc:UPI001C3F8758, UniRef:UniRef100_UPI001C3F8758, UniRef:UniRef50_A0A7Y9DL16, UniRef:UniRef90_A0A919TZK6
contig_2	cds	6776	7666	-	KBFOAK_00014		GNAT family N-acetyltransferase	SO:0001217, UniParc:UPI000FFAC2EB, UniRef:UniRef100_A0A401UZC4, UniRef:UniRef50_A0A3N2FVK6, UniRef:UniRef90_A0A6C0FK53
contig_2	cds	7759	8919	-	KBFOAK_00015	ispG	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	COG:COG0821, COG:I, EC:1.17.7.1, EC:1.17.7.3, GO:0008152, GO:0046429, KEGG:K03526, SO:0001217, UniParc:UPI000F571F12, UniRef:UniRef100_A0A401UZK4, UniRef:UniRef50_P9WKG3, UniRef:UniRef90_D5UD62
contig_2	cds	9028	10338	-	KBFOAK_00016	rseP	RIP metalloprotease RseP	GO:0004222, GO:0006508, GO:0016020, RefSeq:WP_124342552.1, SO:0001217, UniParc:UPI000F571F53, UniRef:UniRef100_A0A401UZJ8, UniRef:UniRef50_A0A1Q5Q5N0, UniRef:UniRef90_A0A6C0FJ42
contig_2	cds	10549	11871	+	KBFOAK_00017		FAD-dependent oxidoreductase	RefSeq:WP_218051872.1, SO:0001217, UniParc:UPI001C3F98D4, UniRef:UniRef100_UPI001C3F98D4, UniRef:UniRef50_A0A6C0FN63, UniRef:UniRef90_A0A6C0FN63
contig_2	cds	11816	12979	-	KBFOAK_00018	dxr	1-deoxy-D-xylulose-5-phosphate reductoisomerase	COG:COG0743, COG:I, EC:1.1.1.267, GO:0005737, GO:0008299, GO:0019288, GO:0030604, GO:0046872, KEGG:K00099, RefSeq:WP_218051873.1, SO:0001217, UniParc:UPI001C3FA943, UniRef:UniRef100_UPI001C3FA943, UniRef:UniRef50_Q8G7Y7, UniRef:UniRef90_A0A6C0FKG2
contig_2	cds	13131	13685	-	KBFOAK_00019		DivIVA domain-containing protein	RefSeq:WP_124343697.1, SO:0001217, UniParc:UPI000F56E4C6, UniRef:UniRef100_A0A401V2P7, UniRef:UniRef50_F6FRX3, UniRef:UniRef90_A0A6C0FFN9
contig_2	cds	13686	14810	-	KBFOAK_00020	rlmN	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	COG:COG0820, COG:J, EC:2.1.1.192, GO:0008757, GO:0016433, GO:0030488, GO:0070475, KEGG:K06941, RefSeq:WP_218051874.1, SO:0001217, UniParc:UPI001C3FD01A, UniRef:UniRef100_UPI001C3FD01A, UniRef:UniRef50_P9WH15, UniRef:UniRef90_A0A0T0MJX8
contig_2	cds	14896	15744	-	KBFOAK_00021		Phosphatidate cytidylyltransferase	EC:2.7.7.41, KEGG:K00981, RefSeq:WP_124343699.1, SO:0001217, UniParc:UPI000F5724EF, UniRef:UniRef100_A0A401V2Q5, UniRef:UniRef50_F7ZZV1, UniRef:UniRef90_A0A6C0FF78
contig_2	cds	15744	16301	-	KBFOAK_00022	frr	ribosome recycling factor	COG:COG0233, COG:J, GO:0006412, GO:0008135, RefSeq:WP_124343700.1, SO:0001217, UniParc:UPI000F55C4A9, UniRef:UniRef100_A0A6C0FS44, UniRef:UniRef50_C5C9Q7, UniRef:UniRef90_F7ZZV2
contig_2	cds	16356	17099	-	KBFOAK_00023	pyrH	UMP kinase	COG:COG0528, COG:F, EC:2.7.4.22, GO:0005737, GO:0006221, GO:0015949, GO:0033862, KEGG:K09903, RefSeq:WP_235843504.1, SO:0001217, UniParc:UPI000FF9B6E0, UniRef:UniRef100_A0A401V2Q4, UniRef:UniRef50_O31749, UniRef:UniRef90_A0A0T0MK02
contig_2	cds	17253	18098	-	KBFOAK_00024	tsf	translation elongation factor Ts	COG:COG0264, COG:J, GO:0003746, GO:0006414, RefSeq:WP_124343702.1, SO:0001217, UniParc:UPI000F561164, UniRef:UniRef100_A0A401V2S1, UniRef:UniRef50_Q8NP02, UniRef:UniRef90_A0A0T0MK01
contig_2	cds	18142	19152	-	KBFOAK_00025	rpsB	30S ribosomal protein S2	GO:0003735, GO:0006412, GO:0015935, KEGG:K02967, RefSeq:WP_124343703.1, SO:0001217, UniParc:UPI000F58C695, UniRef:UniRef100_A0A401V2R2, UniRef:UniRef50_A0JUP1, UniRef:UniRef90_A0A401V2R2
contig_2	cds	19692	20222	+	KBFOAK_00026		Peptidase M23 domain-containing protein	RefSeq:WP_218051875.1, SO:0001217, UniParc:UPI001C3FEC78, UniRef:UniRef100_UPI001C3FEC78, UniRef:UniRef50_A0A401V3E7, UniRef:UniRef90_A0A401V3E7
contig_2	cds	20471	21370	-	KBFOAK_00027	whiG	RNA polymerase sigma factor WhiG	GO:0003677, GO:0003700, GO:0003899, GO:0006352, GO:0016987, KEGG:K02405, RefSeq:WP_124343940.1, SO:0001217, UniParc:UPI000F582A3C, UniRef:UniRef100_A0A401V3C1, UniRef:UniRef50_A0A3R9VNM7, UniRef:UniRef90_A0A6C0FN53
contig_2	cds	22218	23480	-	KBFOAK_00028	dprA	DNA-protecting protein DprA	SO:0001217, UniRef:UniRef50_A0A413RMN2
contig_2	cds	23477	25000	-	KBFOAK_00029		AAA+ ATPase domain-containing protein	RefSeq:WP_218051877.1, SO:0001217, UniParc:UPI001C3F6140, UniRef:UniRef100_UPI001C3F6140, UniRef:UniRef50_A0A524BM73, UniRef:UniRef90_A0A401V3D0
contig_2	cds	25001	25357	-	KBFOAK_00030	yraN	YraN family protein	GO:0003676, GO:0004518, KEGG:K07460, RefSeq:WP_124343943.1, SO:0001217, UniParc:UPI000F560DDF, UniRef:UniRef100_A0A401V3C4, UniRef:UniRef50_Q2J704, UniRef:UniRef90_A0A6C0FFD4
contig_2	cds	25685	26032	-	KBFOAK_00031		Protein often found in actinomycetes clustered with signal peptidase and/or RNaseHII	SO:0001217, UniRef:UniRef50_A0A7W7RKM2, UniRef:UniRef90_F8A041
contig_2	cds	26078	26905	-	KBFOAK_00032		ribonuclease HII	EC:3.1.26.4, GO:0003723, GO:0004523, KEGG:K03470, RefSeq:WP_124343922.1, SO:0001217, UniParc:UPI000F563738, UniRef:UniRef100_A0A401V3A4, UniRef:UniRef50_A0A560WA23, UniRef:UniRef90_A0A6C0FS35
contig_2	cds	26902	27675	-	KBFOAK_00033	lepB	signal peptidase I	EC:3.4.21.89, GO:0004252, GO:0006465, GO:0009306, GO:0016020, RefSeq:WP_235843520.1, SO:0001217, UniParc:UPI000FFA35D0, UniRef:UniRef100_A0A401V3E5, UniRef:UniRef50_A0A5C5BFB9, UniRef:UniRef90_A0A401V3E5
contig_2	cds	27963	28325	-	KBFOAK_00034	rplS	50S ribosomal protein L19	COG:COG0335, COG:J, GO:0000311, GO:0003735, GO:0006412, GO:0022625, KEGG:K02884, RefSeq:WP_124343923.1, SO:0001217, UniParc:UPI000F5659DF, UniRef:UniRef100_A0A6C0FIX6, UniRef:UniRef50_Q1QHI6, UniRef:UniRef90_F8A044
