| Species | C (%) | S (%) | D (%) | F (%) | M (%) | n |
|---------|-------|-------|-------|-------|-------|---|
| Cellulomonas_algicola | 100.0 | 100.0 | 0.0 | 0.0 | 0.0 | 116 |
| Cellulomonas_cellasea | 98.3 | 97.4 | 0.9 | 0.9 | 0.9 | 116 |
| Cellulomonas_composti | 100.0 | 100.0 | 0.0 | 0.0 | 0.0 | 116 |
| Cellulomonas_fimi | 99.1 | 98.3 | 0.9 | 0.9 | 0.0 | 116 |
| Cellulomonas_flavigena | 99.1 | 97.4 | 1.7 | 0.9 | 0.0 | 116 |
| Cellulomonas_fulva | 100.0 | 100.0 | 0.0 | 0.0 | 0.0 | 116 |
| Cellulomonas_gilvus | 100.0 | 99.1 | 0.9 | 0.0 | 0.0 | 116 |
| Cellulomonas_hominis | 100.0 | 99.1 | 0.9 | 0.0 | 0.0 | 116 |
| Cellulomonas_iranensis | 98.3 | 97.4 | 0.9 | 0.9 | 0.9 | 116 |
| Cellulomonas_pakistanensis | 100.0 | 99.1 | 0.9 | 0.0 | 0.0 | 116 |
| Cellulomonas_palmilytica | 100.0 | 100.0 | 0.0 | 0.0 | 0.0 | 116 |
| Cellulomonas_soli | 98.3 | 98.3 | 0.0 | 0.9 | 0.9 | 116 |
| Cellulomonas_terrae | 99.1 | 98.3 | 0.9 | 0.9 | 0.0 | 116 |
| Cellulomonas_uda | 100.0 | 100.0 | 0.0 | 0.0 | 0.0 | 116 |
| Cellulomonas_wangleii | 100.0 | 100.0 | 0.0 | 0.0 | 0.0 | 116 |
| Cellulomonas_wangsupingiae | 100.0 | 100.0 | 0.0 | 0.0 | 0.0 | 116 |
| Cellulomonas_xiejunii | 99.1 | 99.1 | 0.0 | 0.9 | 0.0 | 116 |
| Cellulomonas_xylanilytica | 95.7 | 95.7 | 0.0 | 1.7 | 2.6 | 116 |
