# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	482	1165	-	KPBGHM_00001		DUF1684 domain-containing protein	KEGG:K09164, RefSeq:WP_216445562.1, SO:0001217, UniParc:UPI001C0F8E98, UniRef:UniRef100_UPI001C0F8E98, UniRef:UniRef50_A0A511F854, UniRef:UniRef90_A0A511F854
contig_1	cds	1170	1427	-	KPBGHM_00002		hypothetical protein	RefSeq:WP_216445563.1, SO:0001217, UniParc:UPI001C11A59F, UniRef:UniRef100_UPI001C11A59F, UniRef:UniRef50_A0A511F816, UniRef:UniRef90_A0A511F816
contig_1	cds	1488	2432	+	KPBGHM_00003		F420-dependent oxidoreductase-like protein	RefSeq:WP_146833112.1, SO:0001217, UniParc:UPI00116EBAF2, UniRef:UniRef100_A0A511F7W2, UniRef:UniRef50_A0A7K0C3S1, UniRef:UniRef90_A0A511F7W2
contig_1	cds	2413	3753	-	KPBGHM_00004		DUF2029 domain-containing protein	RefSeq:WP_246802903.1, SO:0001217, UniParc:UPI00116F852A, UniRef:UniRef100_A0A511F844, UniRef:UniRef50_A0A510V0N2, UniRef:UniRef90_A0A511F844
contig_1	cds	3859	5196	+	KPBGHM_00005		Nitrate reductase	RefSeq:WP_146833109.1, SO:0001217, UniParc:UPI00116DCBD2, UniRef:UniRef100_A0A511F809, UniRef:UniRef50_G9PFW1, UniRef:UniRef90_A0A511F809
contig_1	cds	5285	5962	-	KPBGHM_00006		LytR/CpsA/Psr regulator C-terminal domain-containing protein	RefSeq:WP_216445564.1, SO:0001217, UniParc:UPI001C0FB193, UniRef:UniRef100_UPI001C0FB193, UniRef:UniRef50_A0A511FC56, UniRef:UniRef90_A0A511FC56
contig_1	cds	5955	6260	-	KPBGHM_00007	vapB6	Transcription regulator of the Arc/MetJ class	COG:COG5450, COG:K, RefSeq:WP_146833103.1, SO:0001217, UniParc:UPI001167624A, UniRef:UniRef100_A0A511FAT9, UniRef:UniRef50_W9G7X3, UniRef:UniRef90_A0A021VMR7
contig_1	cds	6451	9276	+	KPBGHM_00008		Diguanylate cyclase (GGDEF)-like protein	RefSeq:WP_216445565.1, SO:0001217, UniParc:UPI001C11EAF7, UniRef:UniRef100_UPI001C11EAF7, UniRef:UniRef50_A0A3M2ISX2, UniRef:UniRef90_A0A511F7X0
contig_1	cds	9168	11642	-	KPBGHM_00009		Alkaline phosphatase family protein	RefSeq:WP_216445566.1, SO:0001217, UniParc:UPI001C1110EA, UniRef:UniRef100_UPI001C1110EA, UniRef:UniRef50_A0A512D793, UniRef:UniRef90_A0A511F863
contig_1	cds	11775	12722	+	KPBGHM_00010	pheA	prephenate dehydratase	EC:4.2.1.51, GO:0004664, GO:0009094, RefSeq:WP_216445567.1, SO:0001217, UniParc:UPI001C11CCA9, UniRef:UniRef100_UPI001C11CCA9, UniRef:UniRef50_U1R6X8, UniRef:UniRef90_A0A511FA12
contig_1	cds	12737	13915	-	KPBGHM_00011		Diacylglycerol kinase family enzyme	RefSeq:WP_216445568.1, SO:0001217, UniParc:UPI001C11945F, UniRef:UniRef100_UPI001C11945F, UniRef:UniRef50_A0A163Q474, UniRef:UniRef90_A0A511F840
contig_1	cds	14039	15343	+	KPBGHM_00012	serS	serine--tRNA ligase	EC:6.1.1.11, GO:0000166, GO:0004828, GO:0005524, GO:0006434, KEGG:K01875, RefSeq:WP_216445569.1, SO:0001217, UniParc:UPI001C10779E, UniRef:UniRef100_UPI001C10779E, UniRef:UniRef50_P9WFT7, UniRef:UniRef90_A0A511F7Z6
