# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	348	611	-	HFLLPG_00001		Transglycosylase	RefSeq:WP_236121717.1, SO:0001217, UniParc:UPI001F18E6CB, UniRef:UniRef100_UPI001F18E6CB, UniRef:UniRef50_I0H1Q1, UniRef:UniRef90_A0A510URV1
contig_1	cds	732	1478	-	HFLLPG_00002		hypothetical protein	RefSeq:WP_236121718.1, SO:0001217, UniParc:UPI001F1AFAD7, UniRef:UniRef100_UPI001F1AFAD7, UniRef:UniRef50_UPI001F1AFAD7, UniRef:UniRef90_UPI001F1AFAD7
contig_1	cds	1567	2400	-	HFLLPG_00003		Oxidoreductase	RefSeq:WP_236121719.1, SO:0001217, UniParc:UPI001F443622, UniRef:UniRef100_UPI001F443622, UniRef:UniRef50_D0LF44, UniRef:UniRef90_A0A510URX6
contig_1	cds	2493	4001	-	HFLLPG_00004		glycosyltransferase family 39 protein	RefSeq:WP_236121720.1, SO:0001217, UniParc:UPI001F43CBDB, UniRef:UniRef100_UPI001F43CBDB, UniRef:UniRef50_A0A0T0MHU7, UniRef:UniRef90_UPI001F43CBDB
contig_1	cds	4208	4525	+	HFLLPG_00005		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI001F27752C, UniRef:UniRef90_UPI001F27752C
contig_1	cds	4541	5170	-	HFLLPG_00006		class I SAM-dependent methyltransferase	SO:0001217, UniRef:UniRef50_A0A401V257, UniRef:UniRef90_UPI001F24EEA4
contig_1	cds	5289	5861	+	HFLLPG_00007		DUF4352 domain-containing protein	RefSeq:WP_236121724.1, SO:0001217, UniParc:UPI001F26CC1A, UniRef:UniRef100_UPI001F26CC1A, UniRef:UniRef50_A0A4Y3KH99, UniRef:UniRef90_UPI001F26CC1A
contig_1	cds	6484	7317	+	HFLLPG_00008		alpha/beta fold hydrolase	RefSeq:WP_236121726.1, SO:0001217, UniParc:UPI001F28BCD7, UniRef:UniRef100_UPI001F28BCD7, UniRef:UniRef50_Q83WC8, UniRef:UniRef90_UPI001F28BCD7
contig_1	cds	7314	8180	+	HFLLPG_00009		carboxylesterase	RefSeq:WP_236121727.1, SO:0001217, UniParc:UPI001F40C743, UniRef:UniRef100_UPI001F40C743, UniRef:UniRef50_I0L9P7, UniRef:UniRef90_UPI001F40C743
contig_1	cds	8180	8956	+	HFLLPG_00010		MBL fold metallo-hydrolase	RefSeq:WP_236121728.1, SO:0001217, UniParc:UPI001F20C562, UniRef:UniRef100_UPI001F20C562, UniRef:UniRef50_U5VYE0, UniRef:UniRef90_UPI001F20C562
contig_1	cds	8969	9937	-	HFLLPG_00011		helix-turn-helix domain-containing protein	KEGG:K14063, RefSeq:WP_236121729.1, SO:0001217, UniParc:UPI001F298348, UniRef:UniRef100_UPI001F298348, UniRef:UniRef50_E9UYX0, UniRef:UniRef90_UPI001F298348
contig_1	cds	10166	10585	+	HFLLPG_00012		hypothetical protein	RefSeq:WP_236121730.1, SO:0001217, UniParc:UPI001F3D3507, UniRef:UniRef100_UPI001F3D3507, UniRef:UniRef50_UPI001F3D3507, UniRef:UniRef90_UPI001F3D3507
contig_1	tRNA	10795	10867	-	HFLLPG_00013	trnK	tRNA-Lys(ttt)	SO:0000265
contig_1	cds	10952	11428	-	HFLLPG_00014		heme-degrading domain-containing protein	RefSeq:WP_236121731.1, SO:0001217, UniParc:UPI001F16AD8C, UniRef:UniRef100_UPI001F16AD8C, UniRef:UniRef50_A4AKR1, UniRef:UniRef90_A0A510URV7
contig_1	cds	11477	12196	-	HFLLPG_00015		DNA-binding protein	RefSeq:WP_236121732.1, SO:0001217, UniParc:UPI001F1DFAA2, UniRef:UniRef100_UPI001F1DFAA2, UniRef:UniRef50_A0A4Y3K7P3, UniRef:UniRef90_A0A4Y3K7P3
contig_1	cds	12268	12723	-	HFLLPG_00016		potassium channel family protein	RefSeq:WP_236121733.1, SO:0001217, UniParc:UPI001F1E0513, UniRef:UniRef100_UPI001F1E0513, UniRef:UniRef50_A0A222X9C6, UniRef:UniRef90_UPI001F1E0513
contig_1	cds	12930	13358	+	HFLLPG_00017		N-acetyltransferase	RefSeq:WP_236121734.1, SO:0001217, UniParc:UPI001F2271C3, UniRef:UniRef100_UPI001F2271C3, UniRef:UniRef50_A0A0Q9MML7, UniRef:UniRef90_A0A4Y3K637
contig_1	cds	13447	14712	+	HFLLPG_00018		Pyrrolo-quinoline quinone	RefSeq:WP_236121735.1, SO:0001217, UniParc:UPI001F17953E, UniRef:UniRef100_UPI001F17953E, UniRef:UniRef50_A0A222XB01, UniRef:UniRef90_A0A222XB01
contig_1	cds	14832	16409	-	HFLLPG_00019		non-reducing end alpha-L-arabinofuranosidase family hydrolase	SO:0001217, UniRef:UniRef50_A0A8J3BXN6, UniRef:UniRef90_UPI00295006A9
contig_1	cds	16776	17129	-	HFLLPG_00020		helix-turn-helix transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A0A0C1J1, UniRef:UniRef90_UPI001F40D9C3
contig_1	cds	17253	18020	+	HFLLPG_00021		Arsenite methyltransferase	RefSeq:WP_236123656.1, SO:0001217, UniParc:UPI001F2BC6A9, UniRef:UniRef100_UPI001F2BC6A9, UniRef:UniRef50_A0A7V9CD99, UniRef:UniRef90_A0A222X9L7
contig_1	cds	18020	18256	+	HFLLPG_00022		hypothetical protein	RefSeq:WP_236121738.1, SO:0001217, UniParc:UPI001F1CDECA, UniRef:UniRef100_UPI001F1CDECA, UniRef:UniRef50_UPI001F1CDECA, UniRef:UniRef90_UPI001F1CDECA
contig_1	cds	18280	19182	-	HFLLPG_00023		hypothetical protein	PFAM:PF01451.26, PFAM:PF13508.13, PFAM:PF13673.13
contig_1	cds	19318	19731	+	HFLLPG_00024		hypothetical protein	RefSeq:WP_236121739.1, SO:0001217, UniParc:UPI001F29B95B, UniRef:UniRef100_UPI001F29B95B, UniRef:UniRef50_UPI001F29B95B, UniRef:UniRef90_UPI001F29B95B
contig_1	cds	19791	21086	+	HFLLPG_00025		DUF1565 domain-containing protein	RefSeq:WP_236121740.1, SO:0001217, UniParc:UPI001F19A09D, UniRef:UniRef100_UPI001F19A09D, UniRef:UniRef50_A0A222X9C8, UniRef:UniRef90_A0A222X9C8
contig_1	cds	21120	22223	-	HFLLPG_00026		peptidoglycan DD-metalloendopeptidase family protein	RefSeq:WP_236121741.1, SO:0001217, UniParc:UPI001F267DD3, UniRef:UniRef100_UPI001F267DD3, UniRef:UniRef50_A0A413RJQ9, UniRef:UniRef90_UPI001F267DD3
contig_1	cds	22383	23483	-	HFLLPG_00027		DNA glycosylase AlkZ-like family protein	RefSeq:WP_236121742.1, SO:0001217, UniParc:UPI001F3FB1DC, UniRef:UniRef100_UPI001F3FB1DC, UniRef:UniRef50_A0A285IQQ7, UniRef:UniRef90_UPI001F3FB1DC
contig_1	cds	23529	24752	-	HFLLPG_00028		winged helix DNA-binding domain-containing protein	RefSeq:WP_236121743.1, SO:0001217, UniParc:UPI001F2C6C89, UniRef:UniRef100_UPI001F2C6C89, UniRef:UniRef50_F8A4F8, UniRef:UniRef90_UPI001F2C6C89
contig_1	cds	25024	25983	+	HFLLPG_00029	galE	UDP-glucose 4-epimerase GalE	EC:5.1.3.2, GO:0003978, GO:0006012, RefSeq:WP_236121744.1, SO:0001217, UniParc:UPI001F3EF897, UniRef:UniRef100_UPI001F3EF897, UniRef:UniRef50_A0A2S2GFT0, UniRef:UniRef90_A0A222XBT6
contig_1	cds	25990	26892	-	HFLLPG_00030		LLM class flavin-dependent oxidoreductase	RefSeq:WP_236121745.1, SO:0001217, UniParc:UPI001F2694A1, UniRef:UniRef100_UPI001F2694A1, UniRef:UniRef50_A0A2P8AZK7, UniRef:UniRef90_A0A222XBT5
contig_1	cds	26929	27273	-	HFLLPG_00031		Zn-dependent protease with MMP-like domain	RefSeq:WP_236123658.1, SO:0001217, UniParc:UPI001F1A33FE, UniRef:UniRef100_UPI001F1A33FE, UniRef:UniRef50_K0JPU2, UniRef:UniRef90_F8A4G1
contig_1	tRNA	27423	27495	+	HFLLPG_00032	trnE	tRNA-Glu(ttc)	SO:0000259
contig_1	tRNA	27538	27611	+	HFLLPG_00033	trnD	tRNA-Asp(gtc)	SO:0000256
contig_1	tRNA	27673	27745	+	HFLLPG_00034	trnF	tRNA-Phe(gaa)	SO:0000267
contig_1	cds	27897	28334	+	HFLLPG_00035		Phage holin family protein	RefSeq:WP_236121746.1, SO:0001217, UniParc:UPI001F207451, UniRef:UniRef100_UPI001F207451, UniRef:UniRef50_A0A2T9XSU6, UniRef:UniRef90_A0A222XAL9
contig_1	cds	28459	28863	+	HFLLPG_00036		Phage holin family protein	RefSeq:WP_236121747.1, SO:0001217, UniParc:UPI001F2B8EB8, UniRef:UniRef100_UPI001F2B8EB8, UniRef:UniRef50_A0A0T0MHL5, UniRef:UniRef90_A0A222X9E5
contig_1	cds	28895	29194	+	HFLLPG_00037		DUF3618 domain-containing protein	RefSeq:WP_236121748.1, SO:0001217, UniParc:UPI001F3368A0, UniRef:UniRef100_UPI001F3368A0, UniRef:UniRef50_A0A222XB77, UniRef:UniRef90_UPI001F3368A0
contig_1	cds	29317	29520	-	HFLLPG_00038	merR	MerR family DNA-binding transcriptional regulator	RefSeq:WP_094180931.1, SO:0001217, UniParc:UPI000A8A5F1E, UniRef:UniRef100_A0A222X9M7, UniRef:UniRef50_M3TCN5, UniRef:UniRef90_A0A222X9M7
contig_1	cds	30050	30253	+	HFLLPG_00039		DUF3073 domain-containing protein	RefSeq:WP_236121749.1, SO:0001217, UniParc:UPI001F3F8192, UniRef:UniRef100_UPI001F3F8192, UniRef:UniRef50_D5UKC8, UniRef:UniRef90_A0A222X9D7
contig_1	cds	30349	31482	-	HFLLPG_00040		Phosphoribosylformylglycinamidine cyclo-ligase	RefSeq:WP_236121750.1, SO:0001217, UniParc:UPI001F3203DD, UniRef:UniRef100_UPI001F3203DD, UniRef:UniRef50_A0A1R1LJD1, UniRef:UniRef90_F8A4G7
contig_1	cds	31553	33133	-	HFLLPG_00041	purF	amidophosphoribosyltransferase	EC:2.4.2.14, GO:0004044, GO:0009113, SO:0001217, UniRef:UniRef50_C5CCZ1, UniRef:UniRef90_A0A3N2G4Y6
contig_1	cds	33172	34542	-	HFLLPG_00042		Glucanase	RefSeq:WP_236121752.1, SO:0001217, UniParc:UPI001F33B0E5, UniRef:UniRef100_UPI001F33B0E5, UniRef:UniRef50_P07984, UniRef:UniRef90_A0A222XBU6
contig_1	cds	34814	35248	-	HFLLPG_00043		histidine kinase	RefSeq:WP_236121753.1, SO:0001217, UniParc:UPI001F25AF8C, UniRef:UniRef100_UPI001F25AF8C, UniRef:UniRef50_A0A511JD84, UniRef:UniRef90_UPI001F25AF8C
contig_1	cds	35272	35616	-	HFLLPG_00044		Bacterial SCP orthologue domain-containing protein	SO:0001217, UniRef:UniRef50_A0A191WJC1, UniRef:UniRef90_A0A222XB21
contig_1	cds	35688	36524	-	HFLLPG_00045		Glucanase	RefSeq:WP_236121755.1, SO:0001217, UniParc:UPI001F2EEF9E, UniRef:UniRef100_UPI001F2EEF9E, UniRef:UniRef50_A0A4Y3KJW5, UniRef:UniRef90_A0A4Y3K635
contig_1	cds	36785	37843	-	HFLLPG_00046	rsgA	ribosome small subunit-dependent GTPase A	EC:3.1.3.100, EC:3.6.1.-, GO:0003924, GO:0005525, GO:0006412, GO:0043022, KEGG:K06949, RefSeq:WP_236121756.1, SO:0001217, UniParc:UPI001F215D51, UniRef:UniRef100_UPI001F215D51, UniRef:UniRef50_A0A0A0BB44, UniRef:UniRef90_UPI001F215D51
contig_1	cds	37894	38970	-	HFLLPG_00047		glycoside hydrolase family 6 protein	RefSeq:WP_236121757.1, SO:0001217, UniParc:UPI001F203602, UniRef:UniRef100_UPI001F203602, UniRef:UniRef50_A0A4Y3KJW5, UniRef:UniRef90_UPI001F203602
contig_1	cds	39105	40439	-	HFLLPG_00048	gdhA	NADP-specific glutamate dehydrogenase	EC:1.4.1.4, GO:0006520, GO:0016639, RefSeq:WP_236121758.1, SO:0001217, UniParc:UPI001F20FFB0, UniRef:UniRef100_UPI001F20FFB0, UniRef:UniRef50_A0A7S6SIA7, UniRef:UniRef90_A0A222XB84
contig_1	cds	40628	41380	+	HFLLPG_00049		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI001F3CF325, UniRef:UniRef90_UPI001F3CF325
contig_1	cds	41377	42318	+	HFLLPG_00050		hypothetical protein	RefSeq:WP_236121760.1, SO:0001217, UniParc:UPI001F2A850C, UniRef:UniRef100_UPI001F2A850C, UniRef:UniRef50_A0A510UX08, UniRef:UniRef90_UPI001F2A850C
contig_1	ncRNA-region	42399	42507	+			SAM (S-adenosyl methionine) riboswitch aptamer	RFAM:RF00634, SO:0000035
contig_1	cds	42525	43118	+	HFLLPG_00051		NADPH-dependent FMN reductase-like domain-containing protein	RefSeq:WP_236121761.1, SO:0001217, UniParc:UPI001F1F886C, UniRef:UniRef100_UPI001F1F886C, UniRef:UniRef50_A0A5C4VEY4, UniRef:UniRef90_A0A4Y3KAH6
contig_1	cds	43115	43687	+	HFLLPG_00052		flavin reductase family protein	RefSeq:WP_236121762.1, SO:0001217, UniParc:UPI001F1BFD4C, UniRef:UniRef100_UPI001F1BFD4C, UniRef:UniRef50_A0A7M4DN03, UniRef:UniRef90_UPI001F1BFD4C
contig_1	cds	43791	44303	-	HFLLPG_00053		GNAT family N-acetyltransferase	RefSeq:WP_236121763.1, SO:0001217, UniParc:UPI001F468A3A, UniRef:UniRef100_UPI001F468A3A, UniRef:UniRef50_A0A511JDK0, UniRef:UniRef90_UPI001F468A3A
contig_1	cds	44300	44572	-	HFLLPG_00054		DUF1778 domain-containing protein	RefSeq:WP_236121764.1, SO:0001217, UniParc:UPI001F2AF45C, UniRef:UniRef100_UPI001F2AF45C, UniRef:UniRef50_A0A117MRA7, UniRef:UniRef90_UPI001F2AF45C
contig_1	cds	44629	45801	-	HFLLPG_00055		LLM class flavin-dependent oxidoreductase	EC:1.14.14.34, EC:1.14.14.5, KEGG:K04091, RefSeq:WP_236121765.1, SO:0001217, UniParc:UPI001F174D12, UniRef:UniRef100_UPI001F174D12, UniRef:UniRef50_I0L5Y5, UniRef:UniRef90_UPI001F174D12
contig_1	cds	45798	46895	-	HFLLPG_00056		Luciferase-like monooxygenase	RefSeq:WP_236121766.1, SO:0001217, UniParc:UPI001F23E5A4, UniRef:UniRef100_UPI001F23E5A4, UniRef:UniRef50_A0A1T9V628, UniRef:UniRef90_A0A4Y3KIR7
contig_1	cds	46924	48048	-	HFLLPG_00057		Alkanesulfonate monooxygenase	EC:1.14.14.34, EC:1.14.14.5, KEGG:K04091, RefSeq:WP_236121767.1, SO:0001217, UniParc:UPI001F27F738, UniRef:UniRef100_UPI001F27F738, UniRef:UniRef50_A0A132MZ68, UniRef:UniRef90_A0A4Y3KMX3
contig_1	cds	48088	49305	-	HFLLPG_00058		LLM class flavin-dependent oxidoreductase	RefSeq:WP_236121768.1, SO:0001217, UniParc:UPI001F2B10E9, UniRef:UniRef100_UPI001F2B10E9, UniRef:UniRef50_A0A163RNX7, UniRef:UniRef90_UPI001F2B10E9
contig_1	cds	49360	50553	-	HFLLPG_00059	solA	N-methyl-L-tryptophan oxidase	EC:1.5.3.2, GO:0050131, RefSeq:WP_236121769.1, SO:0001217, UniParc:UPI001F275216, UniRef:UniRef100_UPI001F275216, UniRef:UniRef50_A0A2R2WC77, UniRef:UniRef90_UPI001F275216
contig_1	cds	50556	51563	-	HFLLPG_00060		ABC transporter substrate-binding protein	RefSeq:WP_236121770.1, SO:0001217, UniParc:UPI001F168E02, UniRef:UniRef100_UPI001F168E02, UniRef:UniRef50_A0A0M0FBX3, UniRef:UniRef90_UPI001F168E02
contig_1	cds	51652	52422	-	HFLLPG_00061		Glutamate ABC transporter ATP-binding protein	RefSeq:WP_236121771.1, SO:0001217, UniParc:UPI001F2DA33A, UniRef:UniRef100_UPI001F2DA33A, UniRef:UniRef50_A0A085GDH2, UniRef:UniRef90_A0A4Y3KLQ6
contig_1	cds	52419	53501	-	HFLLPG_00062		amino acid ABC transporter permease	RefSeq:WP_236121772.1, SO:0001217, UniParc:UPI001F26A7B0, UniRef:UniRef100_UPI001F26A7B0, UniRef:UniRef50_A0A0V8SCN3, UniRef:UniRef90_UPI001F26A7B0
contig_1	cds	53498	54094	-	HFLLPG_00063		GNAT family N-acetyltransferase	RefSeq:WP_236121773.1, SO:0001217, UniParc:UPI001F1A2BE8, UniRef:UniRef100_UPI001F1A2BE8, UniRef:UniRef50_A0A918NDR7, UniRef:UniRef90_UPI001F1A2BE8
contig_1	cds	54091	54879	-	HFLLPG_00064		DUF1684 domain-containing protein	KEGG:K09164, RefSeq:WP_236121774.1, SO:0001217, UniParc:UPI001F27B146, UniRef:UniRef100_UPI001F27B146, UniRef:UniRef50_A0A0A0B5E6, UniRef:UniRef90_UPI001F27B146
contig_1	cds	54876	56612	-	HFLLPG_00065	nikD	nickel import ATP-binding protein NikD	EC:7.2.2.-, GO:0005886, GO:0015413, GO:0015675, GO:0016151, GO:0043190, RefSeq:WP_236121775.1, SO:0001217, UniParc:UPI001F22250A, UniRef:UniRef100_UPI001F22250A, UniRef:UniRef50_A0A7K0DMA5, UniRef:UniRef90_UPI001F22250A
contig_1	cds	56609	57553	-	HFLLPG_00066		ABC transporter permease	RefSeq:WP_236121776.1, SO:0001217, UniParc:UPI001F24A082, UniRef:UniRef100_UPI001F24A082, UniRef:UniRef50_A0A0F0L840, UniRef:UniRef90_UPI001F24A082
contig_1	cds	57550	58503	-	HFLLPG_00067		ABC transporter permease	RefSeq:WP_236121777.1, SO:0001217, UniParc:UPI001F3D29D2, UniRef:UniRef100_UPI001F3D29D2, UniRef:UniRef50_A0A5C4X109, UniRef:UniRef90_UPI001F3D29D2
