# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	278	1837	+	HOFFNE_00001	dnaA	chromosomal replication initiator protein DnaA	GO:0003688, GO:0005524, GO:0006275, GO:0043565, KEGG:K02313, RefSeq:WP_227563663.1, SO:0001217, UniParc:UPI001D0DE42C, UniRef:UniRef100_UPI001D0DE42C, UniRef:UniRef50_Q6ABL5, UniRef:UniRef90_A0A1I3ZYU3
contig_1	cds	2606	3736	+	HOFFNE_00002	dnaN	DNA polymerase III subunit beta	EC:2.7.7.7, GO:0003677, GO:0003887, GO:0006260, GO:0009360, KEGG:K02338, RefSeq:WP_227563664.1, SO:0001217, UniParc:UPI001D0E2104, UniRef:UniRef100_UPI001D0E2104, UniRef:UniRef50_N6X4L0, UniRef:UniRef90_D5UF35
contig_1	cds	3823	4752	+	HOFFNE_00003	gnd	phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)	EC:1.1.1.343, EC:1.1.1.44, GO:0006098, GO:0016616, KEGG:K00033, RefSeq:WP_227563665.1, SO:0001217, UniParc:UPI001D0EA049, UniRef:UniRef100_UPI001D0EA049, UniRef:UniRef50_N0DXQ9, UniRef:UniRef90_A0A4Y8UQX1
contig_1	cds	4758	5954	+	HOFFNE_00004	recF	DNA replication/repair protein RecF	GO:0003697, GO:0005524, GO:0006260, GO:0006281, GO:0006310, GO:0009432, RefSeq:WP_227563666.1, SO:0001217, UniParc:UPI001D0ECB94, UniRef:UniRef100_UPI001D0ECB94, UniRef:UniRef50_A0JQT5, UniRef:UniRef90_D5UF37
contig_1	cds	5944	6585	+	HOFFNE_00005		DUF721 domain-containing protein	RefSeq:WP_227563667.1, SO:0001217, UniParc:UPI001D0E7D96, UniRef:UniRef100_UPI001D0E7D96, UniRef:UniRef50_D5UF38, UniRef:UniRef90_UPI001D0E7D96
contig_1	cds	6789	8873	+	HOFFNE_00006	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0006265, KEGG:K02470, SO:0001217, UniRef:UniRef50_P9WG45, UniRef:UniRef90_A0A1I3ZX58
contig_1	cds	8938	11532	+	HOFFNE_00007	gyrA	DNA gyrase subunit A	EC:5.6.2.2, GO:0003677, GO:0003916, GO:0003918, GO:0005524, GO:0006259, GO:0006265, KEGG:K02469, RefSeq:WP_227563668.1, SO:0001217, UniParc:UPI001D0E3719, UniRef:UniRef100_UPI001D0E3719, UniRef:UniRef50_C5C7X9, UniRef:UniRef90_A0A0V8T953
contig_1	cds	11529	12476	+	HOFFNE_00008		DUF3566 domain-containing protein	RefSeq:WP_227563669.1, SO:0001217, UniParc:UPI001D0EF4F8, UniRef:UniRef100_UPI001D0EF4F8, UniRef:UniRef50_D5UF41, UniRef:UniRef90_UPI001D0E93A1
contig_1	tRNA	12601	12674	+	HOFFNE_00009	trnI	tRNA-Ile(gat)	SO:0000263
contig_1	cds	12737	12856	+	HOFFNE_00010		Transporter	SO:0001217, UniRef:UniRef50_A0A0A0BCU6, UniRef:UniRef90_A0A1I3ZWW9
contig_1	tRNA	12872	12944	+	HOFFNE_00011	trnA	tRNA-Ala(tgc)	SO:0000254
contig_1	cds	13004	13474	-	HOFFNE_00012		ATP-binding protein	RefSeq:WP_227563670.1, SO:0001217, UniParc:UPI001D0EE78C, UniRef:UniRef100_UPI001D0EE78C, UniRef:UniRef50_A0A919P8Y6, UniRef:UniRef90_UPI001D0EE78C
contig_1	cds	13665	14423	+	HOFFNE_00013		3'-phosphate/5'-hydroxy nucleic acid ligase	SO:0001217, UniRef:UniRef50_A0A7W0N687
contig_1	cds	14423	14890	+	HOFFNE_00014		hypothetical protein	
contig_1	cds	15461	15667	+	HOFFNE_00015		Cold-shock DNA-binding domain protein	RefSeq:WP_227563671.1, SO:0001217, UniParc:UPI001D0E5F50, UniRef:UniRef100_UPI001D0E5F50, UniRef:UniRef50_U2EJD7, UniRef:UniRef90_D5UF46
contig_1	cds	15775	16341	-	HOFFNE_00016		DinB-like domain-containing protein	RefSeq:WP_227563672.1, SO:0001217, UniParc:UPI001D0F1B07, UniRef:UniRef100_UPI001D0F1B07, UniRef:UniRef50_F8A1M5, UniRef:UniRef90_UPI001D0F1B07
contig_1	cds	16416	17120	-	HOFFNE_00017		GNAT family N-acetyltransferase	RefSeq:WP_227563673.1, SO:0001217, UniParc:UPI001D0EE9EA, UniRef:UniRef100_UPI001D0EE9EA, UniRef:UniRef50_A0A163RUK4, UniRef:UniRef90_UPI001D0EE9EA
contig_1	cds	17493	19883	-	HOFFNE_00018		Endoglucanase	RefSeq:WP_227563674.1, SO:0001217, UniParc:UPI001D0E5123, UniRef:UniRef100_UPI001D0E5123, UniRef:UniRef50_A0A927M5L7, UniRef:UniRef90_A0A1I3ZXA4
contig_1	cds	20095	20958	-	HOFFNE_00019		Mucin-associated surface protein (MASP)	RefSeq:WP_227563681.1, SO:0001217, UniParc:UPI001D0F0295, UniRef:UniRef100_UPI001D0F0295, UniRef:UniRef50_D5UFH8, UniRef:UniRef90_UPI001D0F0295
contig_1	cds	21151	21690	+	HOFFNE_00020		Peptidyl-prolyl cis-trans isomerase	RefSeq:WP_227563682.1, SO:0001217, UniParc:UPI001D0DF71A, UniRef:UniRef100_UPI001D0DF71A, UniRef:UniRef50_A0A2T6L9D3, UniRef:UniRef90_D5UFH9
contig_1	cds	21707	22585	+	HOFFNE_00021		rhomboid family intramembrane serine protease	SO:0001217, UniRef:UniRef50_A0A4P7SNF2, UniRef:UniRef90_UPI001D0F121B
contig_1	cds	22746	22997	-	HOFFNE_00022	crgA	Cell division protein CrgA	RefSeq:WP_227563684.1, SO:0001217, UniParc:UPI001D0DD267, UniRef:UniRef100_UPI001D0DD267, UniRef:UniRef50_D5UFI1, UniRef:UniRef90_A0A1I3ZWX2
contig_1	cds	23188	24078	+	HOFFNE_00023		DUF881 domain-containing protein	RefSeq:WP_227563685.1, SO:0001217, UniParc:UPI001D0F3C5B, UniRef:UniRef100_UPI001D0F3C5B, UniRef:UniRef50_D5UFI2, UniRef:UniRef90_UPI001D0F3C5B
contig_1	cds	24075	24836	+	HOFFNE_00024		class E sortase	RefSeq:WP_227563686.1, SO:0001217, UniParc:UPI001D0E8BA9, UniRef:UniRef100_UPI001D0E8BA9, UniRef:UniRef50_A0A7Z8NS33, UniRef:UniRef90_UPI001D0E8BA9
contig_1	cds	24907	25065	+	HOFFNE_00025		ABC transporter permease	SO:0001217, UniRef:UniRef50_A0A291GLS5, UniRef:UniRef90_A0A542UT00
contig_1	cds	25065	25688	+	HOFFNE_00026		aminodeoxychorismate/anthranilate synthase component II	RefSeq:WP_227563687.1, SO:0001217, UniParc:UPI001D0E86A6, UniRef:UniRef100_UPI001D0E86A6, UniRef:UniRef50_U1NS91, UniRef:UniRef90_A0A0V8T985
contig_1	cds	25779	27779	-	HOFFNE_00027	pknB	Stk1 family PASTA domain-containing Ser/Thr kinase	GO:0004672, GO:0005524, GO:0006468, RefSeq:WP_227563688.1, SO:0001217, UniParc:UPI001D0E9B84, UniRef:UniRef100_UPI001D0E9B84, UniRef:UniRef50_A0A163QIQ6, UniRef:UniRef90_UPI001D0E9B84
contig_1	cds	27779	29134	-	HOFFNE_00028		serine/threonine-protein kinase	RefSeq:WP_227563689.1, SO:0001217, UniParc:UPI001D0ED510, UniRef:UniRef100_UPI001D0ED510, UniRef:UniRef50_UPI001D0ED510, UniRef:UniRef90_UPI001D0ED510
contig_1	cds	29131	30582	-	HOFFNE_00029		penicillin-binding protein 2	RefSeq:WP_227563690.1, SO:0001217, UniParc:UPI001D0E047C, UniRef:UniRef100_UPI001D0E047C, UniRef:UniRef50_A0LQT6, UniRef:UniRef90_UPI001D0E047C
contig_1	cds	30579	32204	-	HOFFNE_00030		FtsW/RodA/SpoVE family cell cycle protein	RefSeq:WP_227563691.1, SO:0001217, UniParc:UPI001D0ED88B, UniRef:UniRef100_UPI001D0ED88B, UniRef:UniRef50_A0A4U6N597, UniRef:UniRef90_UPI001D0ED88B
contig_1	cds	32204	33652	-	HOFFNE_00031		Stp1/IreP family PP2C-type Ser/Thr phosphatase	EC:3.1.3.16, GO:0004722, GO:0006470, KEGG:K20074, RefSeq:WP_227563692.1, SO:0001217, UniParc:UPI001D0F3EA6, UniRef:UniRef100_UPI001D0F3EA6, UniRef:UniRef50_A0A168FKI1, UniRef:UniRef90_UPI001D0F3EA6
contig_1	cds	33656	34153	-	HOFFNE_00032		Inner membrane component of T3SS domain-containing protein	RefSeq:WP_227563693.1, SO:0001217, UniParc:UPI001D0E3EDA, UniRef:UniRef100_UPI001D0E3EDA, UniRef:UniRef50_A0A2N6U631, UniRef:UniRef90_A0A1I3ZVN5
contig_1	cds	34163	34870	-	HOFFNE_00033		FHA domain-containing protein	RefSeq:WP_227563694.1, SO:0001217, UniParc:UPI001D0E9C6C, UniRef:UniRef100_UPI001D0E9C6C, UniRef:UniRef50_A0A0Q6G2C1, UniRef:UniRef90_A0A0V8T8Q7
contig_1	tRNA	35335	35417	+	HOFFNE_00034	trnL	tRNA-Leu(cag)	SO:0000264
contig_1	cds	36333	38741	+	HOFFNE_00035		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI001D0E2D8A, UniRef:UniRef90_UPI001D0E2D8A
contig_1	cds	39794	42538	+	HOFFNE_00036		DEAD/DEAH box helicase	SO:0001217, UniRef:UniRef50_A0A418Q6H2, UniRef:UniRef90_UPI002107BF7D
contig_1	cds	43001	43597	-	HOFFNE_00037		hypothetical protein	RefSeq:WP_227563699.1, SO:0001217, UniParc:UPI001D0E87C7, UniRef:UniRef100_UPI001D0E87C7, UniRef:UniRef50_UPI001D0E87C7, UniRef:UniRef90_UPI001D0E87C7
contig_1	cds	43594	45228	-	HOFFNE_00038		Reverse transcriptase domain-containing protein	RefSeq:WP_227563700.1, SO:0001217, UniParc:UPI001D0ED44A, UniRef:UniRef100_UPI001D0ED44A, UniRef:UniRef50_A0A4Y8UPP2, UniRef:UniRef90_UPI001D0ED44A
contig_1	cds	46155	46811	-	HOFFNE_00039		arginase family protein	SO:0001217, UniRef:UniRef50_UPI001D0EB9F8, UniRef:UniRef90_UPI001D0EB9F8
contig_1	cds	46830	48497	-	HOFFNE_00040	aceB	malate synthase A	EC:2.3.3.9, GO:0004474, GO:0006097, KEGG:K01638, RefSeq:WP_227563702.1, SO:0001217, UniParc:UPI001D0E2CE9, UniRef:UniRef100_UPI001D0E2CE9, UniRef:UniRef50_Q9ZH77, UniRef:UniRef90_A0A1I3ZVU9
contig_1	cds	48583	49941	-	HOFFNE_00041	aceA	isocitrate lyase	EC:4.1.3.1, EC:4.1.3.30, GO:0004451, GO:0019752, KEGG:K01637, RefSeq:WP_227563703.1, SO:0001217, UniParc:UPI001D0F1082, UniRef:UniRef100_UPI001D0F1082, UniRef:UniRef50_P9WKK7, UniRef:UniRef90_D5UFN4
contig_1	cds	50379	51842	+	HOFFNE_00042		Transcriptional regulator, XRE family	RefSeq:WP_227563704.1, SO:0001217, UniParc:UPI001D0EA323, UniRef:UniRef100_UPI001D0EA323, UniRef:UniRef50_A0A919QT61, UniRef:UniRef90_D5UFN3
contig_1	cds	51839	53662	-	HOFFNE_00043		phosphoenolpyruvate carboxykinase (GTP)	EC:4.1.1.32, GO:0004611, GO:0005525, GO:0006094, GO:0017076, KEGG:K01596, RefSeq:WP_227563705.1, SO:0001217, UniParc:UPI001D0EDBA6, UniRef:UniRef100_UPI001D0EDBA6, UniRef:UniRef50_A4FQV7, UniRef:UniRef90_A0A1I3ZVN6
contig_1	cds	53866	54072	-	HOFFNE_00044		hypothetical protein	RefSeq:WP_227563706.1, SO:0001217, UniParc:UPI001D0E2B61, UniRef:UniRef100_UPI001D0E2B61, UniRef:UniRef50_UPI001D0E2B61, UniRef:UniRef90_UPI001D0E2B61
contig_1	cds	54449	54910	+	HOFFNE_00045	yiaA	inner membrane protein YiaA	RefSeq:WP_227563707.1, SO:0001217, UniParc:UPI001D0EB873, UniRef:UniRef100_UPI001D0EB873, UniRef:UniRef50_A0A0C2VXH5, UniRef:UniRef90_UPI001D0EEC29
contig_1	cds	54930	55745	-	HOFFNE_00046		GGDEF domain-containing protein	RefSeq:WP_227563708.1, SO:0001217, UniParc:UPI001D0E2099, UniRef:UniRef100_UPI001D0E2099, UniRef:UniRef50_A0A1M3EFT0, UniRef:UniRef90_UPI001D0DC092
contig_1	cds	55751	56137	-	HOFFNE_00047		STAS/SEC14 domain-containing protein	RefSeq:WP_227563709.1, SO:0001217, UniParc:UPI001D0E9785, UniRef:UniRef100_UPI001D0E9785, UniRef:UniRef50_A0A1M3EG81, UniRef:UniRef90_UPI001D0E9785
contig_1	ncRNA-region	56251	56325	-			c-di-GMP-I-GGC riboswitch aptamer	RFAM:RF03167, SO:0000035
contig_1	cds	56490	56978	+	HOFFNE_00048		NINE protein	RefSeq:WP_227563710.1, SO:0001217, UniParc:UPI001D0F04FA, UniRef:UniRef100_UPI001D0F04FA, UniRef:UniRef50_A0A1I3ZW56, UniRef:UniRef90_UPI001D0F2A48
contig_1	cds	57004	58773	-	HOFFNE_00049		thiamine pyrophosphate-requiring protein	EC:1.2.5.1, GO:0000287, GO:0030976, KEGG:K00156, RefSeq:WP_227563711.1, SO:0001217, UniParc:UPI001D0EF992, UniRef:UniRef100_UPI001D0EF992, UniRef:UniRef50_A0A7W7CKC8, UniRef:UniRef90_UPI001D0E95B7
contig_1	cds	58963	60609	+	HOFFNE_00050	ccmA	heme ABC exporter ATP-binding protein CcmA	COG:COG0488, COG:R, EC:7.6.2.5, GO:0015439, GO:0015886, GO:0017004, GO:0022857, GO:0043190, RefSeq:WP_227563712.1, SO:0001217, UniParc:UPI001D0EEFB1, UniRef:UniRef100_UPI001D0EEFB1, UniRef:UniRef50_A0A1Y2NBE6, UniRef:UniRef90_A0A1I3ZUJ8
contig_1	cds	60716	61234	+	HOFFNE_00051		Peptidase S9	RefSeq:WP_227563713.1, SO:0001217, UniParc:UPI001D0EC867, UniRef:UniRef100_UPI001D0EC867, UniRef:UniRef50_D5UFL6, UniRef:UniRef90_UPI001D0EC867
contig_1	cds	61356	62351	+	HOFFNE_00052		NAD(P)-dependent oxidoreductase	RefSeq:WP_227563714.1, SO:0001217, UniParc:UPI001D0ECC06, UniRef:UniRef100_UPI001D0ECC06, UniRef:UniRef50_A0A4Y3KGA7, UniRef:UniRef90_UPI001D0ECC06
contig_1	cds	62465	63925	+	HOFFNE_00053		Tat pathway signal sequence domain protein	RefSeq:WP_227563715.1, SO:0001217, UniParc:UPI001D0F1742, UniRef:UniRef100_UPI001D0F1742, UniRef:UniRef50_A0A7Y9JWF6, UniRef:UniRef90_UPI001D0E2E24
contig_1	cds	63941	64324	-	HOFFNE_00054	ychJ	YchJ family protein	RefSeq:WP_227563716.1, SO:0001217, UniParc:UPI001D0F0B59, UniRef:UniRef100_UPI001D0F0B59, UniRef:UniRef50_A0A3N2DB42, UniRef:UniRef90_UPI001D0E86AA
contig_1	cds	64341	65792	-	HOFFNE_00055		PQQ-binding-like beta-propeller repeat protein	SO:0001217, UniRef:UniRef50_D5UFM1, UniRef:UniRef90_UPI001D0F0AD3
contig_1	cds	65829	66197	-	HOFFNE_00056		hypothetical protein	RefSeq:WP_227563718.1, SO:0001217, UniParc:UPI001D0ECAE1, UniRef:UniRef100_UPI001D0ECAE1, UniRef:UniRef50_UPI001D0ECAE1, UniRef:UniRef90_UPI001D0ECAE1
contig_1	cds	66369	67490	-	HOFFNE_00057		LPXTG cell wall anchor domain-containing protein	RefSeq:WP_284439907.1, SO:0001217, UniParc:UPI0024E0426C, UniRef:UniRef100_UPI0024E0426C, UniRef:UniRef50_A0A542USV1, UniRef:UniRef90_UPI0027DF681C
